ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
9902,F,Ship,3,5,214,2,medium,F,6,4578
9501,A,Ship,4,2,201,3,medium,F,4,4613
6111,A,Ship,4,2,264,3,low,M,10,5137
588,F,Ship,3,5,194,2,medium,M,4,3496
10806,F,Road,5,5,269,5,medium,F,3,1120
2138,F,Ship,5,3,239,4,low,M,3,3734
6096,F,Ship,6,4,195,5,high,F,10,4225
7376,F,Road,3,1,194,2,medium,F,1,5931
8145,A,Ship,4,5,266,3,medium,F,2,4867
8800,B,Ship,2,4,248,3,low,F,7,4142
5830,B,Ship,4,5,207,2,low,F,3,5270
4494,F,Ship,5,2,219,4,low,F,7,4787
4761,A,Ship,6,5,290,4,medium,M,2,1867
4518,F,Flight,5,4,219,4,low,F,8,4540
7432,B,Ship,3,2,166,2,medium,M,6,4765
4003,D,Ship,4,1,202,3,low,M,4,4029
1382,F,Flight,3,2,243,2,low,F,38,3850
6955,D,Ship,3,2,245,2,low,F,7,4692
6207,A,Ship,3,2,177,4,low,F,3,4199
5378,F,Ship,5,1,170,4,high,M,6,5258
6795,A,Ship,4,3,134,10,medium,M,8,4337
1496,F,Road,4,3,199,2,low,F,28,2607
9246,F,Ship,4,3,174,3,medium,M,2,4069
8439,A,Ship,6,5,246,5,high,F,3,4660
386,F,Road,2,5,182,2,medium,F,57,2896
6535,D,Ship,4,5,242,2,low,M,4,5341
7865,C,Ship,5,3,143,3,low,M,6,4761
2176,B,Road,3,5,230,3,low,F,49,3477
331,D,Ship,3,4,197,3,medium,F,56,3427
8795,C,Ship,3,5,188,4,medium,M,3,4033
2120,F,Ship,3,3,218,3,low,M,19,3770
7774,B,Ship,6,1,214,2,low,M,5,4708
2423,C,Ship,3,2,154,2,high,F,4,1009
4639,D,Road,5,4,223,2,low,M,5,4424
1067,C,Ship,3,4,165,2,low,M,48,1706
5850,F,Ship,4,3,248,2,medium,M,2,4701
3327,A,Ship,4,2,156,3,low,M,3,5923
3318,F,Ship,5,3,141,3,low,M,9,4857
2901,A,Ship,3,3,274,3,low,M,6,2986
8737,D,Ship,4,4,229,2,low,F,9,5672
6152,F,Road,4,3,158,3,high,F,5,5602
3556,B,Road,4,1,173,3,low,F,5,5232
3892,B,Ship,3,4,243,2,high,M,7,4024
9449,C,Flight,4,2,223,6,low,F,10,1650
599,C,Ship,4,5,270,2,low,F,34,2821
5994,F,Ship,3,4,148,3,low,F,8,5267
3839,C,Flight,4,1,190,4,medium,F,5,5570
3514,B,Ship,3,2,262,4,low,M,1,4745
5195,C,Road,4,2,262,3,low,F,9,4941
2913,A,Ship,3,2,182,3,low,F,54,3972
8170,B,Ship,5,4,228,6,medium,M,5,4974
5768,F,Flight,5,4,259,5,low,F,2,1627
2031,A,Road,4,5,266,3,medium,M,5,3718
9760,B,Ship,4,5,135,3,low,F,6,4557
774,F,Ship,3,2,137,3,medium,F,23,1246
1641,A,Flight,3,2,227,3,medium,M,21,2351
7383,A,Road,6,3,232,5,high,M,10,4576
7664,F,Road,3,1,252,2,low,M,9,5050
6520,B,Ship,3,2,270,3,medium,M,9,5873
8576,F,Ship,3,1,269,8,medium,F,4,4290
5713,D,Ship,6,5,263,7,high,M,7,5216
7957,D,Flight,5,5,229,6,low,F,6,1857
7285,D,Ship,5,4,257,2,medium,M,10,5095
5298,F,Ship,3,2,263,3,medium,F,3,4181
7464,F,Ship,5,5,266,5,medium,M,7,1440
824,F,Flight,5,3,178,2,medium,F,60,1830
5851,D,Ship,2,4,114,5,high,F,5,5334
8308,B,Ship,6,2,254,4,low,F,9,1626
8451,A,Ship,4,3,214,2,medium,F,6,4345
1403,C,Ship,5,4,199,4,low,M,24,3443
5730,F,Road,4,5,175,3,medium,F,5,4194
2274,F,Ship,3,3,181,2,medium,M,58,3719
9052,B,Flight,2,1,271,3,low,M,1,4537
5709,A,Ship,3,2,174,3,low,M,3,4132
7934,F,Road,4,1,272,2,low,F,8,5328
6140,F,Road,4,5,222,3,medium,F,7,5844
6538,B,Ship,6,4,279,4,low,F,1,1246
809,C,Road,4,5,163,5,low,M,24,1658
2462,F,Flight,3,3,246,3,low,M,27,3648
10131,A,Road,5,1,151,3,medium,F,1,4981
3529,D,Ship,4,4,218,2,low,M,9,5637
4815,A,Ship,7,3,286,4,low,F,3,1670
1137,A,Ship,5,5,198,5,medium,M,36,2803
2580,F,Road,4,2,128,5,low,F,28,1247
7794,F,Road,3,5,241,3,low,F,5,4861
1011,A,Ship,2,5,228,2,low,F,49,3024
8580,F,Ship,5,1,181,3,low,F,3,5118
2998,B,Road,4,2,185,4,medium,F,36,2583
5892,F,Flight,3,3,255,2,medium,F,3,4824
3853,D,Flight,6,4,148,4,low,F,10,5088
2887,D,Flight,3,1,231,4,medium,F,60,3755
4769,C,Road,4,5,273,2,low,F,9,5724
9153,A,Road,7,2,267,4,medium,M,8,1285
2510,F,Ship,5,1,235,2,low,M,27,2451
2292,F,Ship,5,4,192,3,medium,M,46,3709
5400,F,Ship,5,1,263,3,medium,M,6,4505
5958,F,Ship,4,5,187,3,low,M,7,5022
3071,C,Ship,5,3,206,4,low,M,18,3104
8943,A,Ship,3,1,266,3,low,F,8,4574
6003,A,Road,6,4,282,4,low,M,6,1580
2588,F,Road,5,4,211,6,low,M,33,3955
2239,D,Ship,2,5,236,3,medium,F,13,2171
6873,A,Ship,2,3,164,5,low,M,7,1243
6114,F,Ship,4,2,252,2,high,F,4,5233
8780,F,Flight,4,2,257,2,high,M,3,4108
7596,F,Ship,5,2,269,2,medium,F,9,5672
2828,F,Ship,6,2,131,5,medium,F,5,1718
5813,C,Ship,6,1,141,5,low,F,9,5113
32,F,Ship,5,3,257,2,low,F,61,3341
10257,A,Road,2,2,163,3,low,M,5,5887
4504,B,Road,3,5,174,6,medium,F,7,4608
3369,A,Ship,4,2,296,2,medium,F,2,1233
4651,D,Road,3,2,180,2,high,F,8,4408
10337,C,Ship,3,3,214,3,medium,M,3,4056
5582,F,Ship,5,5,266,2,medium,M,7,5712
4237,D,Road,3,4,247,2,medium,F,2,5016
6580,B,Flight,5,5,240,6,medium,F,9,1117
2836,B,Ship,3,3,186,3,low,M,24,3262
8390,F,Ship,3,1,226,2,low,M,7,4703
6323,C,Ship,3,3,176,3,low,F,1,5168
8545,D,Ship,3,1,188,4,medium,F,8,5884
8164,B,Ship,5,1,146,3,high,F,3,4345
9193,D,Flight,7,1,280,5,low,M,10,1199
3280,B,Road,3,2,243,2,low,F,5,4769
4634,F,Road,4,3,134,4,low,M,3,5233
10598,F,Ship,2,2,258,3,medium,F,3,5365
10776,F,Ship,5,3,230,5,low,M,7,1996
1344,F,Road,4,5,218,3,low,M,25,2682
4725,A,Ship,5,3,199,4,medium,F,8,5362
160,B,Ship,3,3,149,3,low,F,63,1946
