ID,TravelInsurance
1704,0
491,1
414,1
120,0
1268,1
1026,0
1081,1
652,1
649,0
871,0
1630,1
1695,0
991,1
1312,0
950,0
1102,0
1187,0
1366,0
526,0
578,0
300,1
1883,0
1627,1
401,0
1309,1
402,0
1575,0
1759,0
1927,1
363,0
1515,0
656,0
1161,1
373,0
801,1
904,0
172,0
1838,0
1148,0
1957,0
617,1
542,0
1579,0
1842,0
1843,0
936,0
508,1
1597,0
839,1
631,1
1028,0
233,0
808,1
1129,1
1908,0
410,0
452,1
41,0
1741,0
1122,1
142,0
124,0
1983,0
196,1
1159,0
1638,1
278,1
718,0
1596,0
708,0
480,1
1232,0
1024,1
260,1
377,1
1147,1
58,1
1085,0
1599,0
547,1
1658,0
1492,0
1580,0
571,0
1279,1
1923,0
1939,0
1952,1
1740,0
64,1
1626,0
1443,1
1152,0
697,1
1245,1
748,0
1874,0
1703,0
989,1
201,1
514,1
1052,0
518,1
476,1
1420,0
1754,1
1212,0
1524,0
590,0
228,0
1254,1
1180,0
1589,1
949,1
1686,0
459,1
37,0
1728,0
1824,0
1195,0
329,0
1364,0
1783,1
235,0
159,0
700,1
693,0
1004,0
1864,1
1863,0
1693,1
1514,1
1623,1
1875,1
1463,0
221,0
877,1
1755,0
1068,1
15,0
170,1
11,1
1816,0
1079,0
558,0
784,1
823,0
963,1
1067,1
762,0
985,1
1369,0
990,1
655,0
1386,0
1327,0
138,0
776,1
110,0
1652,1
1496,0
1354,1
1422,0
1353,0
599,0
976,0
1749,0
1447,0
1922,0
227,0
1235,0
841,1
1333,0
1078,0
250,1
1022,0
937,0
1932,0
992,0
21,1
931,0
147,0
1086,0
1605,0
851,1
539,0
1604,0
1059,0
830,1
1160,0
1986,0
1796,0
1705,0
562,0
1719,1
1971,0
36,0
1929,1
915,0
1257,0
1958,0
901,0
1108,1
624,0
1549,0
1709,0
264,0
69,0
380,0
266,0
831,0
805,0
664,1
663,1
328,1
899,1
1162,1
682,1
55,0
1666,1
1944,1
1034,1
1006,0
1712,1
1852,0
662,0
1131,0
396,1
1451,0
1140,0
892,0
509,1
1918,1
1738,0
1132,1
1711,0
1732,0
907,1
1202,1
309,1
1834,0
273,1
964,1
361,1
174,1
357,0
1844,0
1532,0
1062,0
1730,0
1803,1
1752,0
850,0
1283,0
1063,0
1267,1
366,0
267,1
1227,0
362,0
1332,0
1742,0
676,0
231,0
1956,1
703,0
317,1
38,0
1325,1
1264,0
1098,0
827,1
206,1
1691,1
1799,1
666,0
284,1
1804,0
186,1
1231,1
1954,0
1850,0
1782,0
207,0
867,0
434,1
25,0
1472,0
190,0
1592,1
1128,0
1033,0
1621,0
1427,1
885,0
1347,0
407,1
799,0
1080,0
1317,1
1641,0
754,0
246,0
1690,1
100,1
1885,0
263,0
292,0
141,0
1392,1
702,0
424,1
695,0
744,0
1763,0
1828,0
1760,1
1645,0
1637,1
1900,0
1723,0
1271,1
286,0
440,1
156,0
326,0
625,0
1832,0
464,1
150,1
1077,0
484,1
1015,1
1629,0
1560,0
422,1
47,0
46,1
782,0
957,0
158,1
1489,1
639,0
1495,1
1192,1
1972,0
916,1
920,0
1949,1
7,1
409,0
1265,0
1721,1
1590,0
636,1
13,1
22,0
39,1
1384,0
817,1
975,1
1114,0
1302,1
1797,0
721,0
538,0
1042,0
1438,0
463,0
99,0
977,1
1961,0
1606,0
726,1
503,0
1182,0
787,0
1924,0
1424,0
390,1
1761,0
1913,0
1568,0
1226,1
540,1
637,0
576,1
1674,0
807,1
1788,0
1014,1
258,0
204,0
210,0
1708,1
1462,0
274,1
613,0
1135,1
458,0
107,0
105,0
1124,0
325,0
289,0
1408,1
1082,0
242,0
1239,1
856,1
149,0
1099,1
62,0
1574,0
1848,0
1151,1
1219,1
191,0
582,0
1269,0
781,1
811,0
1236,0
1469,0
446,0
1853,0
145,0
495,0
1584,0
1457,1
791,1
1201,0
136,1
1571,1
1668,0
1276,1
1171,0
244,0
616,0
40,1
596,1
1290,1
1933,0
1789,0
594,0
1646,1
1601,0
1137,0
86,0
253,1
1069,0
785,0
1412,1
17,1
981,0
934,0
1722,1
1539,1
1942,0
898,0
1326,0
216,1
1642,0
1167,0
420,0
473,1
1280,1
1977,1
1198,0
219,0
1667,0
943,0
1502,0
890,1
623,0
1249,0
1634,0
1418,1
425,0
1967,0
359,0
1396,0
1529,1
104,0
1319,0
1865,1
846,0
202,1
756,0
1163,0
123,0
1973,1
280,0
895,1
1402,0
651,1
1440,0
959,0
1191,0
1005,0
1962,0
733,0
999,1
1119,0
1733,0
1552,1
857,1
1389,1
475,1
1405,0
622,0
44,1
523,0
909,1
589,1
428,0
1905,0
804,0
229,0
1776,0
1101,0
891,0
667,0
1241,1
73,0
398,0
1859,0
1602,0
824,0
367,0
4,0
1394,0
1882,1
1981,1
1094,0
557,0
1381,1
1825,0
1594,1
1048,0
1953,1
151,1
574,0
154,0
1818,0
742,1
1142,0
1619,0
677,0
427,1
1300,0
832,1
356,0
1550,0
217,0
696,0
222,0
657,1
128,1
737,1
397,0
1586,1
1563,0
1812,0
162,1
1025,1
1188,0
1372,1
441,1
1296,0
1110,0
1340,1
778,0
969,0
1572,0
382,1
1527,1
454,0
1246,0
56,1
802,1
1345,0
1683,0
247,1
42,1
1731,0
731,0
958,0
1769,0
1088,0
334,1
271,0
922,0
1517,1
1442,0
1588,0
1089,0
1207,0
897,0
1205,0
352,1
1311,1
1050,0
1911,1
1169,1
1275,0
1130,0
344,0
161,1
530,0
1458,0
1566,1
763,0
942,0
195,1
1330,0
291,0
707,0
406,1
725,1
1118,0
1773,0
166,0
1504,0
646,0
1046,0
78,1
507,0
16,0
1554,0
1656,0
965,0
883,1
1644,1
338,0
265,0
1337,0
1872,0
1726,1
870,0
311,1
310,0
1948,1
1955,0
821,1
429,0
835,0
621,0
1238,1
758,1
745,0
477,1
1449,0
1056,0
1698,0
1821,1
1876,1
1125,0
155,1
1616,1
1398,1
1374,0
1889,0
1505,0
1378,0
998,1
1567,1
972,0
735,0
1673,0
1608,1
1237,0
1310,1
400,0
368,1
691,0
1176,0
826,0
687,0
254,0
1647,0
50,0
789,1
556,0
1035,0
1437,1
1423,0
1356,0
749,1
1292,0
302,1
567,1
1100,1
1688,0
584,0
335,1
820,0
739,1
1197,1
1758,0
1840,0
1419,0
98,0
3,0
1901,0
511,0
1331,1
1460,0
859,0
994,0
1433,1
1339,1
1909,0
1225,0
519,1
315,0
1224,1
932,1
929,1
1172,1
456,1
