name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year
pontiac j2000 se hatchback,31.0,4,112.0,85.0,2575,16.2,82
pontiac safari (sw),13.0,8,400.0,175.0,5140,12.0,71
mazda glc custom l,37.0,4,91.0,68.0,2025,18.2,82
oldsmobile vista cruiser,12.0,8,350.0,180.0,4499,12.5,73
peugeot 504,19.0,4,120.0,88.0,3270,21.9,76
pontiac catalina brougham,14.0,8,400.0,175.0,4464,11.5,71
toyota corolla,28.0,4,97.0,75.0,2155,16.4,76
chevrolet malibu,13.0,8,350.0,145.0,3988,13.0,73
chrysler lebaron town @ country (sw),18.5,8,360.0,150.0,3940,13.0,79
volvo 264gl,17.0,6,163.0,125.0,3140,13.6,78
amc concord,24.3,4,151.0,90.0,3003,20.1,80
volvo 144ea,19.0,4,121.0,112.0,2868,15.5,73
dodge charger 2.2,36.0,4,135.0,84.0,2370,13.0,82
toyota carina,20.0,4,97.0,88.0,2279,19.0,73
mazda 626,31.6,4,120.0,74.0,2635,18.3,81
cadillac seville,16.5,8,350.0,180.0,4380,12.1,76
audi fox,29.0,4,98.0,83.0,2219,16.5,74
oldsmobile cutlass ciera (diesel),38.0,6,262.0,85.0,3015,17.0,82
chrysler lebaron salon,17.6,6,225.0,85.0,3465,16.6,81
mercury marquis,11.0,8,429.0,208.0,4633,11.0,72
chevrolet cavalier,28.0,4,112.0,88.0,2605,19.6,82
honda civic 1500 gl,44.6,4,91.0,67.0,1850,13.8,80
ford ltd landau,17.6,8,302.0,129.0,3725,13.4,79
chevrolet chevette,32.1,4,98.0,70.0,2120,15.5,80
toyota corona,27.5,4,134.0,95.0,2560,14.2,78
amc ambassador brougham,13.0,8,360.0,175.0,3821,11.0,73
buick century luxus (sw),13.0,8,350.0,150.0,4699,14.5,74
chevrolet monza 2+2,20.0,8,262.0,110.0,3221,13.5,75
amc rebel sst,16.0,8,304.0,150.0,3433,12.0,70
toyota corolla,32.2,4,108.0,75.0,2265,15.2,80
pontiac phoenix,27.0,4,151.0,90.0,2735,18.0,82
bmw 2002,26.0,4,121.0,113.0,2234,12.5,70
ford f108,13.0,8,302.0,130.0,3870,15.0,76
toyota corolla 1200,32.0,4,71.0,65.0,1836,21.0,74
dodge colt hardtop,25.0,4,97.5,80.0,2126,17.0,72
pontiac catalina,14.0,8,455.0,225.0,4425,10.0,70
amc gremlin,18.0,6,232.0,100.0,2789,15.0,73
plymouth grand fury,16.0,8,318.0,150.0,4498,14.5,75
dodge aspen se,20.0,6,225.0,100.0,3651,17.7,76
buick electra 225 custom,12.0,8,455.0,225.0,4951,11.0,73
volkswagen rabbit,29.5,4,97.0,71.0,1825,12.2,76
ford maverick,18.0,6,250.0,88.0,3021,16.5,73
volkswagen rabbit custom,29.0,4,97.0,78.0,1940,14.5,77
amc hornet,19.0,6,232.0,100.0,2901,16.0,74
volkswagen 1131 deluxe sedan,26.0,4,97.0,46.0,1835,20.5,70
pontiac catalina,14.0,8,400.0,175.0,4385,12.0,72
buick regal sport coupe (turbo),17.7,6,231.0,165.0,3445,13.4,78
peugeot 604sl,16.2,6,163.0,133.0,3410,15.8,78
ford pinto,23.0,4,140.0,83.0,2639,17.0,75
dodge omni,30.9,4,105.0,75.0,2230,14.5,78
chevroelt chevelle malibu,16.0,6,250.0,105.0,3897,18.5,75
renault 12 (sw),26.0,4,96.0,69.0,2189,18.0,72
pontiac phoenix,33.5,4,151.0,90.0,2556,13.2,79
toyota corona,24.0,4,134.0,96.0,2702,13.5,75
opel 1900,28.0,4,116.0,90.0,2123,14.0,71
honda accord lx,29.5,4,98.0,68.0,2135,16.6,78
amc concord d/l,18.1,6,258.0,120.0,3410,15.1,78
mercedes-benz 280s,16.5,6,168.0,120.0,3820,16.7,76
honda accord,32.4,4,107.0,72.0,2290,17.0,80
renault 5 gtl,36.0,4,79.0,58.0,1825,18.6,77
honda civic,38.0,4,91.0,67.0,1965,15.0,82
chevrolet monte carlo,15.0,8,400.0,150.0,3761,9.5,70
chevrolet nova,22.0,6,250.0,105.0,3353,14.5,76
honda civic cvcc,33.0,4,91.0,53.0,1795,17.5,75
ford ltd,14.0,8,351.0,148.0,4657,13.5,75
plymouth reliant,27.2,4,135.0,84.0,2490,15.7,81
ford thunderbird,16.0,8,351.0,149.0,4335,14.5,77
ford fairmont (man),25.1,4,140.0,88.0,2720,15.4,78
volvo diesel,30.7,6,145.0,76.0,3160,19.6,81
volkswagen dasher,25.0,4,90.0,71.0,2223,16.5,75
datsun 510,27.2,4,119.0,97.0,2300,14.7,78
oldsmobile cutlass salon brougham,19.9,8,260.0,110.0,3365,15.5,78
pontiac sunbird coupe,24.5,4,151.0,88.0,2740,16.0,77
toyota corolla,34.0,4,108.0,70.0,2245,16.9,82
ford escort 2h,29.9,4,98.0,65.0,2380,20.7,81
oldsmobile cutlass ls,26.6,8,350.0,105.0,3725,19.0,81
buick skylark limited,28.4,4,151.0,90.0,2670,16.0,79
ford fairmont,26.4,4,140.0,88.0,2870,18.1,80
dodge colt,28.0,4,90.0,75.0,2125,14.5,74
opel manta,24.0,4,116.0,75.0,2158,15.5,73
chevrolet citation,28.0,4,151.0,90.0,2678,16.5,80
buick skylark,26.6,4,151.0,84.0,2635,16.4,81
amc hornet sportabout (sw),18.0,6,258.0,110.0,2962,13.5,71
toyota starlet,39.1,4,79.0,58.0,1755,16.9,81
fiat 128,29.0,4,68.0,49.0,1867,19.5,73
plymouth valiant,18.0,6,225.0,105.0,3121,16.5,73
chevrolet chevette,30.5,4,98.0,63.0,2051,17.0,77
plymouth cricket,26.0,4,91.0,70.0,1955,20.5,71
chevrolet impala,13.0,8,350.0,165.0,4274,12.0,72
amc matador,14.0,8,304.0,150.0,3672,11.5,73
audi 5000,20.3,5,131.0,103.0,2830,15.9,78
chevrolet malibu,20.5,6,200.0,95.0,3155,18.2,78
ford ltd,13.0,8,351.0,158.0,4363,13.0,73
chevrolet monte carlo landau,15.5,8,350.0,170.0,4165,11.4,77
chevrolet concours,17.5,6,250.0,110.0,3520,16.4,77
datsun 1200,35.0,4,72.0,69.0,1613,18.0,71
amc concord,19.4,6,232.0,90.0,3210,17.2,78
toyota corolla tercel,38.1,4,89.0,60.0,1968,18.8,80
volkswagen scirocco,31.5,4,89.0,71.0,1990,14.9,78
toyota corolla 1200,31.0,4,71.0,65.0,1773,19.0,71
chevrolet chevelle malibu classic,17.5,8,305.0,140.0,4215,13.0,76
ford mustang cobra,23.6,4,140.0,,2905,14.3,80
honda prelude,33.7,4,107.0,75.0,2210,14.4,81
datsun 710,32.0,4,83.0,61.0,2003,19.0,74
plymouth horizon miser,38.0,4,105.0,63.0,2125,14.7,82
amc hornet,18.0,6,199.0,97.0,2774,15.5,70
chevrolet nova,18.0,6,250.0,105.0,3459,16.0,75
dodge aspen,19.1,6,225.0,90.0,3381,18.7,80
plymouth horizon tc3,34.5,4,105.0,70.0,2150,14.9,79
mazda rx-4,21.5,3,80.0,110.0,2720,13.5,77
ford mustang ii 2+2,25.5,4,140.0,89.0,2755,15.8,77
ford fiesta,36.1,4,98.0,66.0,1800,14.4,78
plymouth volare,20.5,6,225.0,100.0,3430,17.2,78
buick century 350,13.0,8,350.0,175.0,4100,13.0,73
amc matador,15.0,6,258.0,110.0,3730,19.0,75
plymouth fury iii,14.0,8,318.0,150.0,4096,13.0,71
datsun 810,22.0,6,146.0,97.0,2815,14.5,77
mercedes benz 300d,25.4,5,183.0,77.0,3530,20.1,79
chevrolet chevelle malibu,18.0,8,307.0,130.0,3504,12.0,70
amc pacer d/l,17.5,6,258.0,95.0,3193,17.8,76
dodge aries wagon (sw),25.8,4,156.0,92.0,2620,14.4,81
amc gremlin,19.0,6,232.0,100.0,2634,13.0,71
maxda rx3,18.0,3,70.0,90.0,2124,13.5,73
chevrolet impala,14.0,8,454.0,220.0,4354,9.0,70
honda civic,24.0,4,120.0,97.0,2489,15.0,74
dodge colt,26.0,4,98.0,79.0,2255,17.7,76
vw rabbit,29.0,4,90.0,70.0,1937,14.2,76
plymouth duster,20.0,6,198.0,95.0,3102,16.5,74
chrysler new yorker brougham,13.0,8,440.0,215.0,4735,11.0,73
ford maverick,21.0,6,200.0,,2875,17.0,74
buick opel isuzu deluxe,30.0,4,111.0,80.0,2155,14.8,77
volkswagen 411 (sw),22.0,4,121.0,76.0,2511,18.0,72
datsun 810 maxima,24.2,6,146.0,120.0,2930,13.8,81
ford pinto,26.0,4,122.0,80.0,2451,16.5,74
ford pinto,25.0,4,98.0,,2046,19.0,71
dodge d200,11.0,8,318.0,210.0,4382,13.5,70
nissan stanza xe,36.0,4,120.0,88.0,2160,14.5,82
pontiac grand prix,16.0,8,400.0,230.0,4278,9.5,73
audi 100 ls,24.0,4,107.0,90.0,2430,14.5,70
toyota corolla liftback,26.0,4,97.0,75.0,2265,18.2,77
vw rabbit,41.5,4,98.0,76.0,2144,14.7,80
plymouth duster,22.0,6,198.0,95.0,2833,15.5,70
chevrolet caprice classic,13.0,8,400.0,150.0,4464,12.0,73
ford ranger,28.0,4,120.0,79.0,2625,18.6,82
ford galaxie 500,14.0,8,351.0,153.0,4154,13.5,71
pontiac firebird,19.0,6,250.0,100.0,3282,15.0,71
subaru,32.3,4,97.0,67.0,2065,17.8,81
ford granada l,22.0,6,232.0,112.0,2835,14.7,82
toyota celica gt liftback,21.1,4,134.0,95.0,2515,14.8,78
peugeot 504,27.2,4,141.0,71.0,3190,24.8,79
capri ii,25.0,4,140.0,92.0,2572,14.9,76
renault lecar deluxe,40.9,4,85.0,,1835,17.3,80
toyota celica gt,32.0,4,144.0,96.0,2665,13.9,82
mercury capri v6,21.0,6,155.0,107.0,2472,14.0,73
toyota corona hardtop,24.0,4,113.0,95.0,2278,15.5,72
dodge d100,13.0,8,318.0,150.0,3755,14.0,76
dodge rampage,32.0,4,135.0,84.0,2295,11.6,82
mercury capri 2000,23.0,4,122.0,86.0,2220,14.0,71
pontiac lemans v6,21.5,6,231.0,115.0,3245,15.4,79
volkswagen rabbit,29.0,4,90.0,70.0,1937,14.0,75
ford galaxie 500,15.0,8,429.0,198.0,4341,10.0,70
renault 12tl,27.0,4,101.0,83.0,2202,15.3,76
buick century,22.4,6,231.0,110.0,3415,15.8,81
dodge monaco (sw),12.0,8,383.0,180.0,4955,11.5,71
toyota corona,31.0,4,76.0,52.0,1649,16.5,74
ford granada ghia,18.0,6,250.0,78.0,3574,21.0,76
chevrolet woody,24.5,4,98.0,60.0,2164,22.1,76
chevrolet chevette,29.0,4,85.0,52.0,2035,22.2,76
ford pinto runabout,21.0,4,122.0,86.0,2226,16.5,72
datsun 610,22.0,4,108.0,94.0,2379,16.5,73
mercury zephyr,20.8,6,200.0,85.0,3070,16.7,78
datsun b-210,32.0,4,85.0,70.0,1990,17.0,76
chevrolet nova,15.0,6,250.0,100.0,3336,17.0,74
ford maverick,24.0,6,200.0,81.0,3012,17.6,76
chevrolet vega,21.0,4,140.0,72.0,2401,19.5,73
datsun 310,37.2,4,86.0,65.0,2019,16.4,80
mercury cougar brougham,15.0,8,302.0,130.0,4295,14.9,77
chevrolet vega,20.0,4,140.0,90.0,2408,19.5,72
chevrolet monte carlo landau,19.2,8,305.0,145.0,3425,13.2,78
datsun 200sx,32.9,4,119.0,100.0,2615,14.8,81
ford country squire (sw),13.0,8,400.0,170.0,4746,12.0,71
audi 100ls,20.0,4,114.0,91.0,2582,14.0,73
volkswagen dasher,26.0,4,79.0,67.0,1963,15.5,74
opel manta,26.0,4,97.0,78.0,2300,14.5,74
chevy c20,10.0,8,307.0,200.0,4376,15.0,70
chevrolet chevette,30.0,4,98.0,68.0,2155,16.5,78
toyota corolla,32.4,4,108.0,75.0,2350,16.8,81
subaru,26.0,4,108.0,93.0,2391,15.5,74
dodge aspen,18.6,6,225.0,110.0,3620,18.7,78
chevrolet chevelle concours (sw),13.0,8,307.0,130.0,4098,14.0,72
pontiac astro,23.0,4,140.0,78.0,2592,18.5,75
vw rabbit custom,31.9,4,89.0,71.0,1925,14.0,79
volkswagen type 3,23.0,4,97.0,54.0,2254,23.5,72
peugeot 504,23.0,4,120.0,88.0,2957,17.0,75
plymouth custom suburb,13.0,8,360.0,170.0,4654,13.0,73
volkswagen super beetle,26.0,4,97.0,46.0,1950,21.0,73
chevrolet bel air,15.0,8,350.0,145.0,4440,14.0,75
bmw 320i,21.5,4,121.0,110.0,2600,12.8,77
triumph tr7 coupe,35.0,4,122.0,88.0,2500,15.1,80
audi 100ls,23.0,4,115.0,95.0,2694,15.0,75
peugeot 304,30.0,4,79.0,70.0,2074,19.5,71
chevrolet monte carlo s,15.0,8,350.0,145.0,4082,13.0,73
datsun 280-zx,32.7,6,168.0,132.0,2910,11.4,80
mazda glc deluxe,32.8,4,78.0,52.0,1985,19.4,78
buick estate wagon (sw),16.9,8,350.0,155.0,4360,14.9,79
datsun 310 gx,38.0,4,91.0,67.0,1995,16.2,82
buick skylark,20.5,6,231.0,105.0,3425,16.9,77
toyota mark ii,19.0,6,156.0,108.0,2930,15.5,76
honda accord,36.0,4,107.0,75.0,2205,14.5,82
buick century special,20.6,6,231.0,105.0,3380,15.8,78
honda civic (auto),32.0,4,91.0,67.0,1965,15.7,82
datsun 210 mpg,37.0,4,85.0,65.0,1975,19.4,81
cadillac eldorado,23.0,8,350.0,125.0,3900,17.4,79
ford fairmont (auto),20.2,6,200.0,85.0,2965,15.8,78
plymouth volare premier v8,13.0,8,318.0,150.0,3940,13.2,76
chevrolet vega 2300,28.0,4,140.0,90.0,2264,15.5,71
volkswagen jetta,33.0,4,105.0,74.0,2190,14.2,81
amc matador (sw),15.0,8,304.0,150.0,3892,12.5,72
plymouth fury iii,14.0,8,440.0,215.0,4312,8.5,70
dodge aspen 6,20.6,6,225.0,110.0,3360,16.6,79
pontiac ventura sj,18.5,6,250.0,110.0,3645,16.2,76
plymouth 'cuda 340,14.0,8,340.0,160.0,3609,8.0,70
ford gran torino (sw),13.0,8,302.0,140.0,4294,16.0,72
plymouth fury gran sedan,14.0,8,318.0,150.0,4237,14.5,73
fiat 124b,30.0,4,88.0,76.0,2065,14.5,71
chevy s-10,31.0,4,119.0,82.0,2720,19.4,82
subaru dl,33.8,4,97.0,67.0,2145,18.0,80
ford fairmont futura,24.0,4,140.0,92.0,2865,16.4,82
chevrolet citation,23.5,6,173.0,110.0,2725,12.6,81
oldsmobile starfire sx,23.8,4,151.0,85.0,2855,17.6,78
mercury monarch,15.0,6,250.0,72.0,3432,21.0,75
oldsmobile cutlass salon brougham,23.9,8,260.0,90.0,3420,22.2,79
mercedes-benz 240d,30.0,4,146.0,67.0,3250,21.8,80
opel 1900,25.0,4,116.0,81.0,2220,16.9,76
ford gran torino,16.0,8,302.0,140.0,4141,14.0,74
audi 4000,34.3,4,97.0,78.0,2188,15.8,80
chrysler cordoba,15.5,8,400.0,190.0,4325,12.2,77
chevrolet chevelle malibu classic,16.0,6,250.0,100.0,3781,17.0,74
chrysler newport royal,13.0,8,400.0,190.0,4422,12.5,72
datsun f-10 hatchback,33.5,4,85.0,70.0,1945,16.8,77
dodge colt (sw),28.0,4,98.0,80.0,2164,15.0,72
datsun pl510,27.0,4,97.0,88.0,2130,14.5,71
chevrolet impala,11.0,8,400.0,150.0,4997,14.0,73
amc matador,15.5,8,304.0,120.0,3962,13.9,76
chevrolet citation,28.8,6,173.0,115.0,2595,11.3,79
dodge st. regis,18.2,8,318.0,135.0,3830,15.2,79
mercury grand marquis,16.5,8,351.0,138.0,3955,13.2,79
ford maverick,21.0,6,200.0,85.0,2587,16.0,70
fiat 124 tc,26.0,4,116.0,75.0,2246,14.0,74
fiat x1.9,31.0,4,79.0,67.0,2000,16.0,74
mercury marquis brougham,12.0,8,429.0,198.0,4952,11.5,73
peugeot 504 (sw),21.0,4,120.0,87.0,2979,19.5,72
pontiac catalina,16.0,8,400.0,170.0,4668,11.5,75
datsun 510 (sw),28.0,4,97.0,92.0,2288,17.0,72
chrysler lebaron medallion,26.0,4,156.0,92.0,2585,14.5,82
plymouth satellite sebring,18.0,6,225.0,105.0,3613,16.5,74
fiat 131,28.0,4,107.0,86.0,2464,15.5,76
volvo 244dl,22.0,4,121.0,98.0,2945,14.5,75
mercury monarch ghia,20.2,8,302.0,139.0,3570,12.8,78
plymouth reliant,30.0,4,135.0,84.0,2385,12.9,81
buick skyhawk,21.0,6,231.0,110.0,3039,15.0,75
peugeot 505s turbo diesel,28.1,4,141.0,80.0,3230,20.4,81
datsun 210,40.8,4,85.0,65.0,2110,19.2,80
toyota corolla,29.0,4,97.0,75.0,2171,16.0,75
dodge colt hatchback custom,35.7,4,98.0,80.0,1915,14.4,79
ford pinto,26.5,4,140.0,72.0,2565,13.6,76
saab 99e,25.0,4,104.0,95.0,2375,17.5,70
volvo 245,20.0,4,130.0,102.0,3150,15.7,76
mazda glc,46.6,4,86.0,65.0,2110,17.9,80
ford fairmont 4,22.3,4,140.0,88.0,2890,17.3,79
volvo 145e (sw),18.0,4,121.0,112.0,2933,14.5,72
volkswagen rabbit custom diesel,43.1,4,90.0,48.0,1985,21.5,78
ford granada gl,20.2,6,200.0,88.0,3060,17.1,81
honda civic cvcc,36.1,4,91.0,60.0,1800,16.4,78
subaru dl,30.0,4,97.0,67.0,1985,16.4,77
dodge colt m/m,33.5,4,98.0,83.0,2075,15.9,77
ford pinto,18.0,6,171.0,97.0,2984,14.5,75
amc ambassador sst,17.0,8,304.0,150.0,3672,11.5,72
