ID,Segmentation
462809,D
466315,B
461735,B
461319,C
460156,C
464347,D
465015,D
465176,C
464041,A
464942,D
460849,B
460563,C
466865,D
461644,B
466772,B
464291,C
466084,A
459675,D
465602,A
459168,B
465083,C
467604,A
459717,C
465882,B
461996,C
463331,C
462216,A
462454,D
459861,D
467917,D
465572,D
460593,D
465891,A
462044,B
465686,D
464590,A
466006,C
466152,A
465729,B
462442,D
464191,A
462078,B
467873,C
461270,A
462960,C
464961,A
462110,B
465769,D
465269,C
461891,C
466935,C
464091,D
464535,A
463108,A
461356,A
464570,A
464580,A
465233,B
459954,D
460219,A
460877,B
460191,D
463742,C
463691,B
463250,D
463952,A
461558,C
465379,C
463814,D
466938,A
460671,B
462204,A
461671,D
459384,C
459905,C
464734,D
464125,D
467434,B
460956,C
465179,C
463338,D
467066,B
459976,D
461334,C
465108,C
462600,D
464144,C
466911,B
462806,A
463426,A
464065,B
462979,D
462834,D
460764,D
460185,D
464406,A
462059,C
467905,D
461177,B
460765,D
465386,C
462332,A
464481,C
461011,B
464749,B
461094,D
462104,D
464524,A
461787,C
467857,A
460153,C
465215,A
466746,C
464857,D
460723,B
459853,A
460410,D
463823,D
462008,B
459750,A
459880,C
459261,C
465395,B
461631,C
464904,A
461740,B
467092,D
464173,C
464972,A
467959,A
467688,C
460043,B
466590,C
461191,D
465662,C
459231,C
466495,B
459192,C
465710,C
460258,D
462813,A
463595,C
467768,C
465291,C
462996,C
463497,D
465301,B
464702,C
459012,B
465053,C
459420,B
464166,B
458987,C
467745,C
464866,D
461081,D
467896,D
463991,A
466620,C
460697,C
467934,A
467910,A
467335,D
460263,B
459340,B
465622,C
459395,D
466574,C
466544,A
463610,A
465539,B
459823,A
467614,B
459073,C
464863,D
460022,A
459929,A
466613,D
461149,D
466068,C
461513,B
466236,B
459664,B
461967,C
461710,C
462742,D
459528,C
467515,A
463429,A
464024,D
460691,D
467271,B
465634,B
464801,D
463467,D
462036,B
461282,D
460448,A
464464,C
462410,B
459756,B
463789,C
466947,C
464150,C
465693,A
461670,C
466768,C
461550,A
462438,D
460704,B
464884,A
467050,B
466176,B
467773,C
465425,B
462318,A
460197,A
459375,A
463862,C
462721,D
465809,B
466915,D
467343,B
466268,C
464868,A
464038,A
460176,C
462161,D
464893,B
464443,B
467619,B
465974,C
462075,B
459494,A
466921,D
463544,C
461167,A
467364,C
462408,A
466224,C
465151,B
467216,D
460586,A
461197,D
462776,C
464088,D
464695,D
462331,D
466523,B
465337,A
460834,A
466824,A
461607,B
466999,D
466597,D
464075,B
462163,C
463895,B
464767,B
463738,A
465967,A
462260,C
467234,D
466573,B
463229,B
459768,D
462541,B
467714,A
459474,D
460093,A
467865,A
465758,D
464184,B
462618,D
464226,C
465432,B
466627,C
467380,C
465842,A
464622,A
462083,D
460910,A
460255,A
460109,C
464306,B
466835,B
465192,A
463380,A
462391,C
467086,A
460306,D
460752,A
467264,C
466258,B
463719,D
460032,A
465175,D
466610,A
459036,A
464047,D
459997,A
463382,B
460967,A
465094,B
461229,A
466442,D
464527,A
463560,D
460011,C
467207,B
465177,D
467531,D
462842,D
462124,A
466265,C
459789,C
464223,C
460280,D
460331,A
461494,B
460035,A
463812,B
465569,A
466333,C
462723,B
462404,A
461799,B
459933,A
463717,C
462149,D
462769,B
465532,A
462829,D
459210,C
464659,D
467759,C
461475,C
462714,B
466890,B
467479,C
466799,D
460873,B
466776,B
459462,B
465727,D
462348,B
460941,A
461629,B
459907,C
467146,D
459196,D
465444,B
464186,C
466412,B
459480,A
467880,C
460216,A
467941,A
462572,A
467443,A
459701,B
461139,A
461115,A
459027,B
467340,C
460857,A
464300,A
463287,C
461392,C
461546,A
462130,C
464684,A
462276,A
462417,D
466463,B
464736,D
463855,C
460344,C
460139,D
464126,B
461286,D
461621,C
460163,A
461958,A
464875,B
464791,A
464579,D
463531,A
465486,C
460882,D
461298,C
461595,A
459260,C
462772,B
459143,B
464532,A
460056,C
466761,A
465469,C
461886,D
465680,D
459316,D
465609,D
467009,D
461766,A
464938,A
462034,B
464049,C
467925,A
463711,A
463846,C
462064,C
463249,A
464217,A
463378,B
463035,D
465309,D
462688,D
459255,A
467492,A
460789,D
467307,C
464026,D
462493,C
460452,B
459322,A
464066,A
461114,C
465165,B
464526,A
460666,A
464096,C
464891,A
460107,C
467708,D
461873,C
465181,A
467320,D
459468,B
467316,A
466182,C
463757,B
462314,A
466652,B
461664,C
464105,C
466790,A
463844,B
462913,C
465541,C
459149,B
464508,C
458999,C
459947,B
465500,C
466338,A
465122,C
465230,C
466369,B
463939,D
460825,D
463471,A
467415,D
465879,A
463961,A
462634,A
463622,C
466624,C
467785,B
460578,D
460198,D
463581,D
465414,B
464574,D
462312,A
467971,D
464746,D
459298,C
466414,A
460773,C
465163,C
462222,D
459342,C
460767,A
464319,A
462828,D
465155,C
461704,A
464826,D
462677,B
465006,A
463483,D
459002,D
465990,D
466044,A
461163,B
467106,B
461256,C
462695,A
466208,C
462128,C
467329,C
461609,B
464470,C
462705,C
465255,D
466018,C
459115,D
461263,A
460366,D
464106,A
465696,C
461627,C
467963,D
462437,D
467543,B
465206,C
463040,B
461668,C
461955,D
467139,A
459366,A
462167,A
466752,D
466902,C
459534,C
463399,A
464878,D
467599,D
466226,C
463576,D
464911,C
463909,B
466099,B
464427,C
463951,A
465289,A
464219,A
467098,A
467451,A
465137,C
462289,A
467647,D
459803,C
465972,D
464136,A
459286,D
463580,D
466636,C
461064,C
461597,B
458990,D
461351,D
464420,C
462060,C
465707,C
463733,D
463960,A
462395,D
461015,C
466267,A
464056,C
465898,A
465361,C
461394,D
466269,D
466213,D
465550,D
463451,D
463877,A
463876,C
465448,A
459325,D
467233,B
465264,A
461811,D
465368,D
467693,B
461499,A
465936,B
459748,C
466376,B
460215,D
462076,D
465756,D
463573,D
463455,B
460841,D
463959,B
461792,D
462791,D
463102,D
462659,A
463408,D
462071,A
464806,D
463664,A
467795,D
459141,D
465900,A
467265,C
464490,A
460411,A
466491,B
465248,D
463308,A
463478,B
465396,D
461954,B
463800,A
459894,C
459778,B
464662,C
460878,C
462187,C
461908,D
461951,D
465352,C
464258,B
464215,D
467561,B
464665,B
460670,B
461486,C
459526,A
466492,A
459489,B
459681,B
462971,C
461221,B
464090,A
459822,D
462540,B
467411,B
463997,B
464103,B
465751,C
459797,C
464572,D
462352,B
460513,D
463228,B
464765,A
463720,B
460799,D
460891,C
460311,D
466727,B
465138,A
466361,B
463154,D
462967,B
460908,D
467560,B
463281,D
462466,C
463744,C
464209,C
462528,C
460061,D
466188,B
467914,D
462758,D
465704,C
460397,A
466676,D
465024,C
461630,C
465328,A
461220,D
463935,C
460514,A
466262,A
460890,C
466415,D
462392,A
459706,C
467446,A
460528,C
459212,C
462364,A
464549,C
464555,D
462027,A
467123,B
467826,D
461837,C
467328,B
464025,D
460385,D
462551,B
462047,B
459958,D
