소방서ID,신고접수시간,출발시간,도착시간
StationS,2023-07-08 21:05,2023-07-08 21:09,2023-07-08 21:37
StationI,2023-06-04 8:11,2023-06-04 8:14,2023-06-04 8:58
StationJ,2023-01-31 16:20,2023-01-31 16:23,2023-01-31 16:44
StationD,2023-03-10 17:31,2023-03-10 17:32,2023-03-10 18:03
StationB,2023-06-18 7:23,2023-06-18 7:26,2023-06-18 8:18
StationG,2023-01-11 14:17,2023-01-11 14:18,2023-01-11 14:32
StationX,2023-05-24 21:51,2023-05-24 21:52,2023-05-24 22:08
StationW,2023-09-24 14:21,2023-09-24 14:23,2023-09-24 14:42
StationI,2023-08-02 23:42,2023-08-02 23:47,2023-08-03 0:01
StationE,2023-12-21 10:30,2023-12-21 10:31,2023-12-21 11:30
StationI,2023-03-03 1:46,2023-03-03 1:48,2023-03-03 1:58
StationC,2023-06-15 7:29,2023-06-15 7:30,2023-06-15 8:02
StationR,2023-04-05 2:34,2023-04-05 2:37,2023-04-05 3:12
StationB,2023-02-17 20:39,2023-02-17 20:40,2023-02-17 21:32
StationI,2023-03-09 15:11,2023-03-09 15:14,2023-03-09 15:27
StationN,2023-05-04 2:31,2023-05-04 2:32,2023-05-04 2:42
StationB,2023-01-26 0:32,2023-01-26 0:37,2023-01-26 1:25
StationC,2023-02-18 6:38,2023-02-18 6:42,2023-02-18 7:13
StationR,2023-10-30 8:07,2023-10-30 8:12,2023-10-30 8:50
StationK,2023-03-09 21:49,2023-03-09 21:51,2023-03-09 22:35
StationE,2023-06-19 18:31,2023-06-19 18:34,2023-06-19 18:46
StationD,2023-09-12 15:37,2023-09-12 15:40,2023-09-12 15:51
StationS,2023-07-02 18:11,2023-07-02 18:13,2023-07-02 18:48
StationA,2023-04-13 6:24,2023-04-13 6:28,2023-04-13 6:51
StationC,2023-11-01 21:22,2023-11-01 21:23,2023-11-01 21:37
StationU,2023-12-11 19:39,2023-12-11 19:40,2023-12-11 20:33
StationM,2023-09-17 15:24,2023-09-17 15:29,2023-09-17 15:35
StationC,2023-12-08 4:52,2023-12-08 4:54,2023-12-08 5:08
StationL,2023-03-26 10:08,2023-03-26 10:12,2023-03-26 10:19
StationZ,2023-02-17 21:04,2023-02-17 21:07,2023-02-17 22:07
StationP,2023-12-02 2:31,2023-12-02 2:32,2023-12-02 2:41
StationA,2023-03-18 1:55,2023-03-18 2:00,2023-03-18 2:13
StationD,2023-12-08 23:20,2023-12-08 23:22,2023-12-08 23:48
StationV,2023-05-06 22:56,2023-05-06 22:59,2023-05-06 23:18
StationW,2023-08-21 16:14,2023-08-21 16:18,2023-08-21 16:27
StationV,2023-07-21 5:08,2023-07-21 5:10,2023-07-21 6:04
StationV,2023-07-15 1:53,2023-07-15 1:55,2023-07-15 2:04
StationV,2023-06-23 7:37,2023-06-23 7:39,2023-06-23 8:25
StationC,2023-01-31 23:25,2023-01-31 23:27,2023-02-01 0:17
StationR,2023-08-19 7:06,2023-08-19 7:08,2023-08-19 7:17
StationX,2023-09-28 8:27,2023-09-28 8:30,2023-09-28 8:49
StationR,2023-06-20 18:40,2023-06-20 18:44,2023-06-20 18:45
StationM,2023-02-24 20:17,2023-02-24 20:21,2023-02-24 21:01
