School Name,1G Students,2G Students,3G Students,4G Students,5G Students,6G Students,Teachers
ES1,64,48,84,78,24,38,15
ES2,58,62,82,73,42,63,15
ES3,64,79,99,49,80,73,23
ES4,60,96,48,69,47,26,18
ES5,56,71,69,32,33,100,22
ES6,86,41,56,70,57,60,16
ES7,90,100,93,53,43,76,18
ES8,87,54,40,29,33,72,13
ES9,26,24,72,69,62,70,19
ES10,21,68,72,76,49,84,24
ES11,89,53,49,74,66,70,25
ES12,22,98,74,83,74,37,18
ES13,62,43,24,90,94,85,22
ES14,84,39,66,32,25,85,19
ES15,99,95,74,51,20,70,22
ES16,27,57,59,55,78,40,18
ES17,54,71,26,26,81,54,15
ES18,63,69,85,92,28,59,16
ES19,75,38,49,53,53,44,13
ES20,28,92,61,36,31,66,13
ES21,55,83,67,32,21,78,13
ES22,42,97,53,83,69,41,17
ES23,92,26,34,74,32,97,20
ES24,87,73,48,86,95,30,17
ES25,27,80,54,57,93,73,18
ES26,77,60,33,75,44,32,16
ES27,26,67,32,34,92,63,13
ES28,84,79,59,56,95,69,18
ES29,58,80,45,64,28,51,14
ES30,86,83,34,68,23,90,19
ES31,22,30,98,73,68,68,14
ES32,97,79,36,55,73,49,24
ES33,68,85,38,23,90,53,16
ES34,72,100,28,23,97,95,23
ES35,28,46,23,85,90,27,15
ES36,25,32,29,88,82,95,15
ES37,69,22,54,43,24,33,12
ES38,29,51,33,32,70,51,10
ES39,90,95,50,69,92,79,29
ES40,97,24,39,45,87,67,16
ES41,36,45,86,73,71,45,19
ES42,99,57,86,94,73,98,31
ES43,59,47,41,36,41,74,16
ES44,94,56,65,27,100,50,24
ES45,81,32,45,68,30,75,19
ES46,93,65,88,33,71,38,18
ES47,54,79,83,100,58,65,17
ES48,99,39,60,31,43,29,12
ES49,41,64,76,89,86,88,18
ES50,51,31,48,49,23,25,10
ES51,80,67,94,27,21,25,12
ES52,35,60,83,75,61,91,19
ES53,83,94,33,88,29,99,26
ES54,57,37,94,90,28,20,21
ES55,75,58,50,62,98,93,25
ES56,41,46,29,41,42,93,12
ES57,70,64,84,99,59,29,19
ES58,58,84,38,29,47,42,11
ES59,57,63,92,82,21,94,21
ES60,21,50,58,77,20,63,15
ES61,54,20,58,76,90,82,18
ES62,24,87,87,38,95,20,17
ES63,63,30,66,61,66,87,16
ES64,32,49,75,47,50,28,12
ES65,27,72,83,83,99,91,20
ES66,85,49,65,90,81,22,17
ES67,93,61,53,38,40,41,13
ES68,44,81,22,83,94,29,16
ES69,26,20,68,82,40,37,16
ES70,64,65,54,89,22,67,17
ES71,84,52,78,94,26,43,22
ES72,62,20,45,90,87,40,14
ES73,35,20,62,33,60,90,20
ES74,99,54,50,88,90,83,29
ES75,88,46,69,66,83,67,19
ES76,100,82,98,70,40,36,17
ES77,46,77,40,77,86,63,16
ES78,72,90,79,63,87,20,17
ES79,73,100,70,38,70,21,16
ES80,61,74,79,52,68,81,25
ES81,47,47,89,23,83,67,22
ES82,88,35,32,64,84,53,14
ES83,77,77,72,69,35,65,26
ES84,23,71,88,96,68,94,20
ES85,46,42,55,52,73,76,13
ES86,63,28,82,98,55,98,19
ES87,38,66,21,24,61,35,9
ES88,36,30,93,38,60,84,15
ES89,41,97,22,49,49,100,14
ES90,45,47,49,28,65,85,14
ES91,83,36,40,84,66,74,15
ES92,32,46,32,52,59,93,15
ES93,23,83,96,87,72,99,25
ES94,82,25,74,22,86,69,18
ES95,94,91,71,47,100,88,28
ES96,90,35,83,27,80,38,16
ES97,78,68,50,81,97,59,25
ES98,95,22,31,35,41,54,18
ES99,45,24,97,98,66,81,21
ES100,85,77,89,67,81,70,31
ES101,66,40,22,63,28,27,10
ES102,93,97,37,70,55,86,21
ES103,91,78,20,79,57,52,20
ES104,58,42,75,86,23,62,15
ES105,42,81,61,69,26,97,19
ES106,95,45,39,24,36,71,19
ES107,60,88,41,56,25,41,13
ES108,54,34,34,37,77,68,15
ES109,46,36,85,34,36,47,15
ES110,70,89,29,29,37,34,12
ES111,62,81,44,84,55,98,24
ES112,56,67,30,42,65,43,15
ES113,61,97,89,42,66,75,21
ES114,74,42,58,81,90,28,19
