Police Station,Year-Month,Violent,Theft,Traffic,Intelligence,Against Morals,Special Economic,Drug,Health,Environmental,Labor,Security,Election,Military,Other
PS 1,2021-01-31,36,42,42,20,12,27,35,26,7,16,6,18,13,17
PS 1,2021-02-28,25,21,32,1,20,22,0,49,47,7,2,15,2,47
PS 1,2021-03-31,45,7,36,46,35,46,9,34,17,33,15,45,27,42
PS 1,2021-04-30,43,24,2,2,18,41,37,1,0,44,33,30,45,6
PS 1,2021-05-31,23,36,11,2,36,44,29,34,47,25,35,11,33,47
PS 1,2021-06-30,16,39,29,41,28,21,44,38,41,15,8,10,13,5
PS 1,2021-07-31,50,41,25,27,36,5,33,16,36,50,45,34,48,37
PS 1,2021-08-31,0,5,34,4,26,17,42,20,42,16,18,28,16,3
PS 1,2021-09-30,7,8,9,18,7,14,1,38,43,13,42,36,5,24
PS 1,2021-10-31,39,40,41,28,41,32,29,25,15,43,30,43,31,41
PS 1,2021-11-30,29,22,43,20,16,48,2,11,48,3,3,28,38,20
PS 1,2021-12-31,7,41,15,40,20,18,26,46,8,23,38,38,19,42
PS 1,2022-01-31,32,46,42,45,43,18,28,4,11,24,48,16,12,19
PS 1,2022-02-28,4,23,7,15,23,31,3,2,34,18,4,7,17,35
PS 1,2022-03-31,5,44,1,13,31,24,31,44,18,36,42,46,27,21
PS 1,2022-04-30,20,25,43,38,12,11,38,25,38,42,4,23,29,38
PS 1,2022-05-31,20,1,50,19,9,39,38,15,42,5,0,0,27,49
PS 1,2022-06-30,15,9,20,47,4,5,30,26,21,0,29,44,6,20
PS 1,2022-07-31,46,13,7,39,40,26,5,10,5,49,45,37,3,25
PS 1,2022-08-31,49,47,30,36,6,1,50,13,20,10,43,4,7,21
PS 1,2022-09-30,17,4,5,16,20,7,7,24,42,50,2,26,42,45
PS 1,2022-10-31,13,45,31,39,14,34,18,40,45,14,30,44,10,13
PS 1,2022-11-30,16,35,14,26,4,4,5,12,47,27,7,13,45,8
PS 1,2022-12-31,32,9,21,28,34,29,10,2,37,21,2,8,48,29
PS 2,2021-01-31,25,8,43,13,35,19,43,22,12,2,14,0,19,24
PS 2,2021-02-28,39,27,5,4,20,38,33,45,24,1,28,0,13,3
PS 2,2021-03-31,33,20,23,17,37,11,45,46,11,1,2,36,39,18
PS 2,2021-04-30,34,19,44,20,2,19,4,49,19,50,11,42,3,41
PS 2,2021-05-31,33,24,35,6,8,33,2,33,47,38,38,46,4,40
PS 2,2021-06-30,19,1,6,13,21,18,7,34,19,1,46,8,22,14
PS 2,2021-07-31,13,46,31,3,49,17,13,50,28,27,32,10,20,31
PS 2,2021-08-31,14,0,5,31,37,2,4,15,35,12,3,1,34,27
PS 2,2021-09-30,16,8,45,46,12,26,14,31,41,39,14,17,22,7
PS 2,2021-10-31,11,50,15,7,24,41,50,17,36,32,36,9,21,9
PS 2,2021-11-30,41,38,43,27,31,36,19,7,5,15,44,9,19,11
PS 2,2021-12-31,0,37,11,14,31,17,13,35,33,7,47,2,27,26
PS 2,2022-01-31,11,3,33,13,5,7,36,8,9,47,4,20,38,32
PS 2,2022-02-28,28,41,48,37,48,8,16,36,46,6,41,45,1,18
PS 2,2022-03-31,10,19,46,16,26,35,39,41,0,30,2,45,45,32
PS 2,2022-04-30,27,49,49,49,23,17,45,0,49,46,45,21,9,42
PS 2,2022-05-31,44,2,19,40,5,27,41,13,26,18,21,44,6,18
PS 2,2022-06-30,23,40,24,14,8,43,47,49,24,26,1,40,42,23
PS 2,2022-07-31,35,12,4,24,33,11,31,3,11,5,23,5,8,16
PS 2,2022-08-31,23,41,2,32,29,15,27,11,20,3,23,2,3,28
PS 2,2022-09-30,27,33,38,48,19,16,0,7,26,33,43,30,22,11
PS 2,2022-10-31,14,1,41,26,3,16,15,24,25,17,0,14,18,17
PS 2,2022-11-30,40,22,18,22,28,47,8,41,50,47,45,45,48,43
