User ID,TransportMode
U1,subway
U2,taxi
U3,subway
U4,subway
U5,subway
U6,subway
U7,subway
U8,taxi
U9,bicycle
U10,bus
U11,taxi
U12,subway
U13,subway
U14,bicycle
U15,bus
U16,bus
U17,bus
U18,taxi
U19,taxi
U20,taxi
U21,bicycle
U22,taxi
U23,subway
U24,taxi
U25,bus
U26,subway
U27,bus
U28,bicycle
U29,subway
U30,subway
U31,bus
U32,taxi
U33,subway
U34,subway
U35,bus
U36,subway
U37,subway
U38,subway
U39,bicycle
U40,subway
U41,bus
U42,subway
U43,subway
U44,bus
U45,subway
U46,subway
U47,bus
U48,bus
U49,bus
U50,bus
U51,subway
U52,subway
U53,bicycle
U54,bus
U55,bus
U56,bus
U57,subway
U58,bus
U59,subway
U60,bus
U61,bus
U62,bus
U63,subway
U64,bus
U65,bus
U66,bus
U67,taxi
U68,bus
U69,taxi
U70,bus
U71,bicycle
U72,subway
U73,bicycle
U74,subway
U75,taxi
U76,bus
U77,bus
U78,bus
U79,bus
U80,bus
U81,bus
U82,subway
U83,bus
U84,subway
U85,subway
U86,bus
U87,subway
U88,bus
U89,subway
U90,bicycle
U91,bus
U92,subway
U93,bus
U94,taxi
U95,bus
U96,bus
U97,subway
U98,bus
U99,taxi
U100,bus
U101,subway
U102,bus
U103,taxi
U104,bicycle
U105,bus
U106,subway
U107,subway
U108,subway
U109,bus
U110,bicycle
U111,subway
U112,taxi
U113,subway
U114,bus
U115,taxi
U116,bus
U117,taxi
U118,subway
U119,taxi
U120,subway
U121,taxi
U122,subway
U123,bicycle
U124,subway
U125,subway
U126,subway
U127,bus
U128,bus
U129,subway
U130,bus
U131,subway
U132,subway
U133,bus
U134,bus
U135,subway
U136,subway
U137,subway
U138,subway
U139,subway
U140,subway
U141,taxi
U142,bus
U143,subway
U144,taxi
U145,taxi
U146,taxi
U147,bus
U148,bicycle
U149,taxi
U150,bicycle
U151,bus
U152,taxi
U153,bus
U154,subway
U155,bus
U156,taxi
U157,taxi
U158,subway
U159,subway
U160,bus
U161,subway
U162,subway
U163,taxi
U164,taxi
U165,bicycle
U166,taxi
U167,bus
U168,bus
U169,taxi
U170,bus
U171,subway
U172,bus
U173,bus
U174,bus
U175,taxi
U176,bus
U177,bus
U178,bicycle
U179,taxi
U180,bus
U181,bus
U182,subway
U183,subway
U184,bus
U185,bicycle
U186,subway
U187,subway
U188,subway
U189,taxi
U190,bus
U191,bus
U192,bus
U193,bus
U194,bicycle
U195,taxi
U196,subway
U197,bus
U198,bus
U199,bus
U200,subway
U201,bus
U202,subway
U203,bus
U204,bus
U205,bus
U206,bus
U207,subway
U208,subway
U209,subway
U210,taxi
U211,bicycle
U212,bus
U213,subway
U214,bus
U215,bus
U216,taxi
U217,bus
U218,bus
U219,subway
U220,taxi
U221,subway
U222,taxi
U223,bus
U224,taxi
U225,bus
U226,bicycle
U227,subway
U228,bus
U229,bicycle
U230,taxi
U231,bus
U232,bus
U233,subway
U234,bus
U235,bus
U236,subway
U237,bus
U238,subway
U239,bus
U240,subway
U241,taxi
U242,bus
U243,subway
U244,bus
U245,taxi
U246,bus
U247,subway
U248,bus
U249,bus
U250,subway
U251,bus
U252,bicycle
U253,taxi
U254,taxi
U255,bicycle
U256,bus
U257,subway
U258,subway
U259,bicycle
U260,bus
U261,bus
U262,bus
U263,bus
U264,bicycle
U265,subway
U266,taxi
U267,bus
U268,subway
U269,bus
U270,subway
U271,bicycle
U272,taxi
U273,bus
U274,bicycle
U275,bus
U276,bicycle
U277,bicycle
U278,taxi
U279,subway
U280,taxi
U281,bus
U282,taxi
U283,subway
U284,bus
U285,bus
U286,bus
U287,bicycle
U288,subway
U289,subway
U290,subway
U291,bus
U292,bus
U293,taxi
U294,bus
U295,subway
U296,bus
U297,bus
U298,taxi
U299,bicycle
U300,bicycle
U301,bicycle
U302,taxi
U303,bus
U304,bus
U305,subway
U306,bus
U307,bus
U308,bus
U309,taxi
U310,bus
U311,taxi
U312,bus
U313,bus
U314,bus
U315,subway
U316,bus
U317,subway
U318,subway
U319,taxi
U320,taxi
U321,bus
U322,bus
U323,bus
U324,bus
U325,bus
U326,subway
U327,subway
U328,subway
U329,bus
U330,bus
U331,bus
U332,taxi
U333,bus
U334,subway
