BranchName,City,Population,IncomeGeneratingPopRatio,AverageIncome,IndustryType,Sales
지점106,대전,1961994,0.201854887,5104676,농업,256900147
지점69,수원,1999348,0.609038613,6175887,서비스업,185564838
지점480,광주,1736191,0.684105886,4935993,농업,265883549
지점400,서울,1411974,0.488642007,6387483,어업,130738595
지점435,수원,1599608,0.231684502,6113313,어업,354354259
지점259,대전,1062318,0.373729834,5926568,농업,114431635
지점828,울산,2605470,0.379430789,4619640,농업,200353692
지점885,부산,2422809,0.221635338,3428593,서비스업,381082693
지점305,광주,559500,0.450414095,5721441,농업,399312187
지점812,서울,1200483,0.30759129,3771059,제조업,383902487
지점939,인천,1237683,0.507711703,4936978,어업,171948484
지점925,수원,1359931,0.502013467,6609883,서비스업,344385480
지점527,대전,2325268,0.6609579,3544175,서비스업,427894869
지점21,대전,2016817,0.531428239,6756598,농업,214770721
지점906,울산,923323,0.308189557,3589572,농업,478391394
지점381,수원,1228988,0.379553254,3298062,서비스업,346534107
지점421,울산,2056688,0.230944584,4226753,서비스업,383425559
지점286,고양,1833299,0.678744272,4909046,서비스업,411987900
지점72,인천,2736910,0.222125986,4319094,서비스업,294104550
지점50,서울,2287163,0.67984782,4248153,어업,231865474
지점180,용인,1274160,0.38429946,3182791,농업,250123580
지점507,용인,1205106,0.291752234,3328790,제조업,259820187
지점930,대구,1300248,0.581930921,6987045,어업,302108369
지점117,인천,2640307,0.308639486,6808295,어업,169253470
지점294,부산,1824273,0.612840411,6167628,서비스업,319644972
지점77,울산,1103268,0.216387951,4951135,서비스업,157939522
지점49,대구,2734661,0.435160641,4674160,서비스업,109376907
지점504,대구,1482878,0.221931215,5351308,농업,220984419
지점264,울산,2002749,0.635049895,3808114,농업,167433273
지점809,부산,1431326,0.222254814,5468079,서비스업,386513301
지점864,인천,1367272,0.280493931,3765208,제조업,173114938
지점749,서울,1359726,0.362136438,4037840,제조업,108222625
지점65,용인,1963019,0.585538673,6798993,서비스업,445961747
지점799,고양,2582416,0.680787572,3437211,서비스업,262099158
지점53,대전,2820392,0.635091089,5758694,농업,295842050
지점441,대전,1361188,0.343787691,4465112,농업,237852251
지점125,고양,2909408,0.360848809,5630529,서비스업,213599974
지점651,대구,2090058,0.62179518,4627770,제조업,211837699
지점410,부산,1190441,0.430926721,4247909,서비스업,230193399
지점753,용인,837667,0.313564408,4136242,어업,126800127
지점953,서울,1569727,0.20733291,3525827,농업,250959726
지점478,용인,1371345,0.56996874,4190782,어업,243697279
지점119,부산,2273214,0.298000377,4528555,농업,243571910
지점13,고양,683286,0.256112158,5196590,제조업,192318764
지점158,대전,878735,0.242105632,5676103,농업,160079471
지점338,용인,2559870,0.504546949,3126845,농업,212082961
지점128,서울,2067418,0.394166583,3257322,제조업,281029771
지점47,대구,1026710,0.464157564,5401797,서비스업,352819574
지점236,부산,2486935,0.28763776,6651263,농업,450175514
지점539,대구,2534832,0.469184219,5711274,제조업,144966689
지점242,광주,828625,0.306341204,6972699,어업,319633838
지점591,광주,918054,0.645189281,5560369,제조업,441523346
지점359,고양,2465721,0.406884104,5212519,제조업,356386565
지점960,대구,1880479,0.244821238,5605632,농업,314195208
지점849,대전,1384335,0.4132857,6325656,서비스업,308995796
지점793,광주,935355,0.46329213,4506679,서비스업,106596254
지점326,대전,1731456,0.390826873,3991912,농업,152173478
지점900,인천,1987984,0.277138889,6211932,농업,430054634
지점810,수원,1149173,0.323919323,6076504,어업,458198288
지점351,인천,2764398,0.699099476,5475223,서비스업,239241977
지점364,광주,2823243,0.670719646,6161746,어업,135458569
지점18,수원,1203335,0.56607111,5385831,어업,105064459
지점187,인천,1030733,0.605490866,6894955,서비스업,186688874
지점403,울산,516371,0.408514871,6822361,농업,370617166
지점339,울산,1391693,0.292558194,6429139,농업,492633125
지점207,인천,1298361,0.679139667,3931179,농업,411492540
지점964,울산,1327878,0.427193149,3873641,어업,222409734
지점346,고양,521427,0.446932743,5861544,농업,211123070
지점314,대전,1301430,0.22940436,6186140,제조업,145235697
지점243,서울,2991216,0.438307114,4924413,서비스업,333358101
지점914,고양,2399481,0.356710261,5102466,제조업,169331281
지점171,대전,2842887,0.360373958,5866109,농업,366147039
지점188,울산,513649,0.513877858,4881414,서비스업,225116919
지점935,용인,1831633,0.459168894,4535936,제조업,280130315
지점134,인천,1045417,0.500613879,3767720,서비스업,166928889
지점302,울산,1421771,0.643917153,4040063,제조업,196903337
지점732,인천,1830438,0.383058775,5892167,서비스업,197036228
지점671,대구,526704,0.423661444,6309292,서비스업,317455696
지점319,인천,2743693,0.46857021,6219941,제조업,194083564
지점79,광주,2986608,0.369547294,6832377,농업,105928832
지점522,서울,2342471,0.522207782,4730843,제조업,317654225
지점347,울산,2006344,0.490944471,6256272,어업,122857508
지점199,대구,2431989,0.362927421,5659229,농업,197340642
지점866,부산,2665765,0.683368872,4308437,제조업,124566391
지점549,인천,858151,0.216703646,5074225,제조업,348275650
지점916,대전,2050618,0.650961816,6562060,어업,185380386
지점589,대전,1295345,0.452953992,6941631,농업,180880946
지점448,대전,2605679,0.578912054,5699079,농업,216986065
지점22,용인,2489379,0.622682259,5241590,제조업,274848436
지점725,인천,1244635,0.317274951,5596982,어업,397719998
지점719,서울,656678,0.412276478,6931812,어업,229046019
지점251,대구,2424710,0.50779861,3320476,농업,162822521
지점244,용인,659928,0.25603594,4831555,어업,425296578
지점572,대전,1828330,0.686820759,5942600,서비스업,411039486
지점36,인천,1497507,0.459992495,4942433,서비스업,443392260
지점82,광주,2422992,0.583732882,5372732,제조업,387215978
지점160,서울,2152356,0.550316672,5848995,서비스업,285931952
지점334,서울,2364241,0.507381375,3088330,농업,471864167
지점838,수원,2210366,0.274970695,3987207,서비스업,481138065
지점475,인천,2816254,0.267133512,4334236,제조업,178030519
지점672,대구,2663135,0.610367131,5952695,제조업,267628888
지점110,수원,505912,0.327632259,6006000,제조업,193837612
지점662,울산,1462021,0.341756891,6286398,서비스업,279575147
지점380,울산,2471063,0.387794281,5255356,농업,200638437
지점626,대구,597098,0.364980442,6864893,제조업,114007866
지점604,서울,2024682,0.507183756,5722788,농업,103053343
지점93,인천,2625222,0.564236983,6006974,제조업,422949199
지점452,대전,2541049,0.466168035,5396069,농업,171793007
지점653,고양,598816,0.383162185,6068088,제조업,231176040
지점823,서울,1195467,0.605145382,6911948,농업,368134287
지점856,대구,782462,0.213194666,6750191,농업,220170001
지점391,광주,627014,0.440053904,6350464,어업,218601415
지점578,대전,739185,0.624514317,4036546,서비스업,318477575
지점986,고양,2669356,0.24840161,3249662,농업,306257196
지점423,대구,2889123,0.389833222,4800407,농업,180469944
지점212,용인,2942541,0.503130953,3773093,서비스업,153790626
지점172,수원,2508978,0.237062259,6517131,서비스업,333841430
지점166,고양,572664,0.434692178,3593416,농업,180694907
지점239,고양,1979495,0.589576962,6741976,제조업,398822280
지점189,인천,2592621,0.65249116,4570144,서비스업,126230340
지점686,부산,1806074,0.372351089,3453423,제조업,341855026
지점804,대전,2232537,0.493744262,4942813,어업,456688301
지점345,서울,1623332,0.557149923,6222952,제조업,100311185
지점742,서울,907559,0.413730703,5381081,어업,360444518
지점454,고양,1327198,0.396814873,3713468,어업,459846980
지점647,인천,1460143,0.239037427,5237449,서비스업,335350181
지점831,수원,1249094,0.404647656,4452370,서비스업,201387796
지점156,서울,2237066,0.282772806,5391774,서비스업,356479201
지점488,용인,1955866,0.346285423,5210607,서비스업,451267001
지점598,인천,559202,0.501891452,6380907,제조업,379047804
지점989,대구,2083043,0.424847215,3493218,서비스업,154490761
지점126,대구,576033,0.413296955,6871468,농업,363571257
지점67,인천,2336072,0.388634466,6284139,어업,354626459
지점909,수원,1405741,0.465802909,3014274,어업,456785509
지점512,광주,805186,0.315386971,5339873,서비스업,107886976
지점225,부산,1940765,0.456204241,3358804,서비스업,148490539
지점269,용인,629364,0.461412141,4992309,농업,385223408
지점162,울산,2444229,0.48333467,3033269,어업,468026204
지점814,대전,652655,0.338709021,4946114,제조업,246767870
지점619,부산,1593402,0.308776105,3393028,제조업,210118882
지점677,광주,2305600,0.459183205,3544411,서비스업,259091208
지점179,울산,2918660,0.333185196,3885039,농업,210901212
지점951,서울,2729190,0.463160806,6182398,어업,347677869
지점416,수원,1294643,0.369257246,3536051,농업,320987422
지점101,서울,2448803,0.315627476,3588553,제조업,301148815
지점734,수원,615989,0.242219163,6384343,서비스업,322125671
지점690,울산,2892203,0.411305037,3678346,제조업,406833734
지점230,대구,644223,0.499790673,3290797,제조업,372780886
지점335,인천,2334971,0.672202061,6655979,서비스업,439598066
지점628,광주,2405379,0.445892018,3125728,농업,237153587
지점703,부산,1008394,0.45176391,6145848,제조업,332785886
지점879,광주,1099666,0.476725215,4395214,제조업,319037569
지점483,부산,1016085,0.382838167,5038432,제조업,114280680
지점920,울산,1593342,0.669539178,6360803,제조업,387398475
지점221,부산,727717,0.477831313,5943672,농업,327471413
지점392,대전,2369282,0.521932018,4311778,제조업,103713896
지점913,고양,2166065,0.343073802,3428746,제조업,215269522
지점428,서울,2738044,0.589555497,5605041,제조업,259239047
지점310,고양,1893347,0.48930499,5410542,어업,277670869
지점776,광주,819755,0.259118064,4955174,어업,362807563
지점886,용인,2001304,0.600380254,5198020,제조업,374608533
지점16,울산,1072716,0.453265841,3226444,농업,175625779
지점494,울산,1637159,0.315200157,5438972,농업,173686600
지점246,수원,1246938,0.342389853,6564172,어업,254827162
지점899,수원,1820538,0.330123289,4479637,어업,240985061
