ID,Reached.on.Time_Y.N
9902,0
9501,0
6111,1
588,1
10806,0
2138,1
6096,0
7376,0
8145,0
8800,0
5830,1
4494,1
4761,1
4518,0
7432,0
4003,0
1382,1
6955,0
6207,1
5378,1
6795,0
1496,1
9246,1
8439,1
386,1
6535,0
7865,1
2176,1
331,1
8795,0
2120,1
7774,0
2423,1
4639,1
1067,1
5850,1
3327,0
3318,0
2901,1
8737,1
6152,0
3556,0
3892,0
9449,1
599,1
5994,1
3839,1
3514,1
5195,0
2913,1
8170,1
5768,1
2031,1
9760,0
774,1
1641,1
7383,1
7664,0
6520,1
8576,0
5713,1
7957,0
7285,0
5298,0
7464,0
824,1
5851,1
8308,0
8451,0
1403,1
5730,0
2274,1
9052,0
5709,0
7934,1
6140,0
6538,1
809,1
2462,1
10131,0
3529,0
4815,0
1137,1
2580,1
7794,1
1011,1
8580,0
2998,1
5892,0
3853,0
2887,1
4769,0
9153,0
2510,1
2292,1
5400,1
5958,1
3071,1
8943,0
6003,0
2588,1
2239,1
6873,0
6114,1
8780,1
7596,0
2828,1
5813,0
32,1
10257,0
4504,0
3369,0
4651,0
10337,1
5582,1
4237,1
6580,0
2836,1
8390,0
6323,0
8545,1
8164,1
9193,1
3280,0
4634,0
10598,1
10776,0
1344,1
4725,0
160,1
7473,1
10301,1
8819,1
7300,0
1671,1
1321,1
10050,0
5419,0
5031,1
2969,1
10773,1
6020,0
5365,1
4835,1
788,1
5281,1
1146,1
5888,0
460,1
1600,1
10296,1
5266,0
3968,0
182,1
441,1
801,1
3115,1
6687,1
8151,0
5206,1
8582,0
140,1
4331,1
10841,0
4097,1
2832,1
10957,0
664,1
2534,1
5137,0
4164,0
2179,1
9543,0
4047,0
4870,0
1309,1
3235,1
4967,0
5387,0
10040,1
7435,0
8703,1
4028,0
3747,0
3642,1
8465,1
6736,1
2680,1
1402,1
1994,1
531,1
1929,1
5587,0
929,1
7454,1
249,1
4447,1
7453,1
10430,1
3193,0
329,1
9593,0
1219,1
4282,0
6528,0
4863,1
10478,1
1612,1
7716,1
8623,1
7358,1
2249,1
2065,1
8931,1
5573,0
2722,1
1177,1
7343,0
1570,1
8006,0
2295,1
9354,0
5285,0
6174,1
2694,1
3066,1
10795,0
473,1
4745,0
4541,0
7509,0
10924,0
3770,0
1280,1
533,1
10043,1
8360,0
2491,1
5960,1
8461,0
6695,1
5826,0
7106,0
9436,0
130,1
10416,1
2200,1
8803,1
6464,0
8998,1
9655,1
5908,1
822,1
4040,0
2671,1
9064,1
9855,1
7114,0
8577,1
2660,1
3994,1
1925,1
1151,1
2776,1
10540,0
3586,0
1516,1
2950,1
2551,1
3690,1
7850,0
10079,1
5776,1
5050,1
326,1
7899,1
9709,1
4874,1
3385,0
10714,1
230,1
7249,0
6231,0
1506,1
10791,0
10483,0
10786,0
6281,0
4891,0
1175,1
7241,1
9998,1
1323,1
2559,1
634,1
8716,0
5603,1
8322,0
2902,1
3792,1
2034,1
2798,1
910,1
698,1
2042,1
6903,1
8705,0
2922,1
10696,1
7474,1
9368,1
5282,0
3045,1
4191,1
10215,0
2631,1
2227,1
8907,0
9406,0
3224,0
1390,1
6511,0
9488,1
2483,1
6047,0
6850,0
1061,1
4388,0
4999,1
2512,1
3170,0
5016,1
520,1
5338,0
7975,0
54,1
4584,1
10341,1
8221,0
5738,0
7237,1
6071,1
9283,0
8087,0
8121,1
2283,1
4432,1
1333,1
8038,1
221,1
2934,1
3058,1
7796,1
4499,0
3179,0
9992,0
6156,0
7887,1
4335,0
7854,1
5155,1
7949,0
8728,0
3995,1
7842,1
1195,1
2142,1
1119,1
4020,1
9315,1
1075,1
4501,1
213,1
1412,1
9100,1
7831,1
4772,1
461,1
7857,1
5481,1
6897,1
4561,0
4182,0
240,1
2478,1
2223,1
10891,1
2608,1
5947,0
6627,1
3931,0
3387,1
9477,0
9582,0
2197,1
3163,0
7019,1
5581,0
5443,0
10941,0
7655,1
6276,1
6304,0
6078,0
3907,0
1702,1
3949,0
3872,1
6586,0
3063,1
5353,0
7050,0
8442,0
7861,0
7983,0
1057,1
5236,1
6168,1
10326,0
6178,1
7594,0
6453,1
2916,1
9341,0
697,1
3345,0
4161,1
3578,0
2480,1
3292,0
5409,0
3354,0
6629,0
643,1
10113,1
1157,1
6859,1
2464,1
6559,0
3298,1
8515,1
9908,0
7588,0
7915,0
10619,1
4279,0
3102,1
4325,1
3158,0
2474,1
9668,0
1830,1
9422,0
299,1
10508,0
2769,1
2756,1
9741,0
2264,1
6063,0
4122,0
8981,0
4905,0
10486,1
3926,0
8779,0
10227,1
4216,1
1298,1
5015,0
4717,0
984,1
8137,0
923,1
6421,0
658,1
7499,1
9504,1
4658,1
9042,1
621,1
559,1
8638,0
1091,1
4389,0
9900,1
6487,0
7210,0
4955,0
9935,1
1834,1
4434,0
10361,0
9942,0
1739,1
4354,1
8226,0
8629,0
5622,1
459,1
6635,0
2881,1
4569,0
1816,1
5550,1
927,1
7982,0
6072,0
4009,0
9363,0
4693,1
449,1
8422,1
10059,0
1647,1
6478,1
3491,1
10290,0
2968,1
6195,0
7342,0
9187,0
6295,0
2298,1
1951,1
3541,0
6503,0
2467,1
7066,0
5878,1
10103,0
7519,0
317,1
