ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size
462809,Male,No,22,No,Healthcare,1.0,Low,4.0
466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0
461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0
461319,Male,Yes,56,No,Artist,0.0,Average,2.0
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0
464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0
465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0
465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0
464041,Female,No,26,Yes,Engineer,1.0,Low,3.0
464942,Male,No,19,No,Healthcare,4.0,Low,4.0
460849,Female,Yes,58,No,Doctor,0.0,Low,1.0
460563,Female,No,41,No,Healthcare,1.0,Low,2.0
466865,Female,No,32,No,Homemaker,9.0,Low,5.0
461644,Male,No,31,No,Healthcare,1.0,Low,6.0
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0
459675,Female,No,18,No,Healthcare,3.0,Low,4.0
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0
459168,Female,No,36,Yes,Artist,5.0,Low,2.0
465083,Male,Yes,56,No,Artist,1.0,Average,3.0
467604,Male,No,31,No,Healthcare,9.0,Low,8.0
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0
465882,Male,No,35,Yes,Artist,0.0,Low,1.0
461996,Female,No,35,No,Artist,5.0,Low,4.0
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0
462454,Male,No,19,No,Healthcare,1.0,Low,3.0
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0
465572,Male,No,32,No,Doctor,5.0,Low,1.0
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0
462044,Female,No,47,Yes,Artist,4.0,Low,1.0
465686,Female,No,22,No,Healthcare,0.0,Low,2.0
464590,Female,No,27,Yes,Artist,14.0,Low,3.0
466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0
466152,Male,Yes,40,No,Engineer,8.0,Low,1.0
465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0
462442,Male,No,19,No,Healthcare,0.0,Low,4.0
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0
462078,Female,Yes,61,No,Artist,1.0,Average,2.0
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0
462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0
464961,Male,Yes,76,No,Marketing,1.0,Low,1.0
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0
465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0
465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0
466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0
464580,Male,No,27,No,Artist,8.0,Low,4.0
465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0
459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0
460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0
460877,Female,Yes,47,No,Artist,0.0,Average,5.0
460191,Female,No,33,No,Healthcare,8.0,Low,4.0
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0
463691,Female,No,33,No,Homemaker,0.0,Low,3.0
463250,Female,No,36,Yes,Doctor,0.0,Low,2.0
463952,Male,Yes,51,No,Artist,4.0,Low,3.0
461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0
465379,Male,No,30,No,Healthcare,0.0,Low,4.0
463814,Female,No,26,No,Healthcare,6.0,Low,3.0
466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0
460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0
462204,Female,No,19,No,Marketing,1.0,Low,3.0
461671,Male,No,32,No,Healthcare,7.0,Low,5.0
459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0
459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0
464734,Female,No,42,No,Entertainment,7.0,Low,3.0
464125,Male,Yes,40,No,Doctor,0.0,Average,2.0
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0
460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0
465179,Female,Yes,61,Yes,Artist,1.0,High,2.0
463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0
467066,Male,Yes,55,No,Artist,0.0,Low,1.0
459976,Female,No,38,Yes,Artist,0.0,Low,1.0
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0
465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0
462600,Male,Yes,30,No,Engineer,3.0,Average,3.0
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0
466911,Male,Yes,68,No,Executive,1.0,High,7.0
462806,Male,Yes,52,No,Artist,0.0,Low,3.0
463426,Male,Yes,38,No,Executive,0.0,High,5.0
464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0
462979,Male,No,18,No,Doctor,1.0,Low,2.0
462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0
460764,Male,No,86,No,Lawyer,1.0,Low,1.0
460185,Male,No,25,No,Healthcare,9.0,Low,3.0
464406,Female,No,39,Yes,Artist,0.0,Low,1.0
462059,Male,No,47,Yes,Artist,1.0,Low,1.0
467905,Male,Yes,43,Yes,Executive,0.0,High,3.0
461177,Male,Yes,36,No,Executive,8.0,Average,4.0
460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0
465386,Male,No,36,Yes,Artist,0.0,Low,2.0
462332,Female,Yes,37,Yes,Artist,1.0,High,2.0
464481,Male,Yes,46,Yes,Executive,0.0,High,3.0
461011,Male,Yes,55,No,Executive,1.0,High,4.0
464749,Female,Yes,47,No,Engineer,9.0,Average,4.0
461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0
462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0
464524,Female,Yes,27,No,Marketing,1.0,Low,2.0
461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0
467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0
460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0
466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0
464857,Male,No,18,No,Healthcare,6.0,Low,4.0
460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0
459853,Male,No,30,No,Executive,5.0,Low,5.0
460410,Female,No,39,Yes,Artist,3.0,Low,4.0
463823,Female,No,29,No,Marketing,8.0,Low,4.0
462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0
459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0
459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0
459261,Female,No,32,Yes,Doctor,0.0,Low,3.0
465395,Female,Yes,43,No,Engineer,0.0,Average,5.0
461631,Male,No,29,No,Marketing,8.0,Low,5.0
464904,Female,Yes,28,No,Engineer,9.0,Average,2.0
461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0
467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0
464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0
464972,Male,Yes,67,No,Lawyer,0.0,High,9.0
467959,Female,No,26,No,Engineer,0.0,Low,1.0
467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0
460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0
466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0
461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0
465662,Male,Yes,76,No,Executive,1.0,Low,1.0
459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0
466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0
459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0
465710,Female,No,49,Yes,Artist,1.0,Low,1.0
460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0
462813,Male,Yes,37,No,Executive,0.0,Average,5.0
463595,Female,No,32,No,Healthcare,1.0,Low,5.0
467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0
465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0
462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0
463497,Male,No,32,Yes,Artist,0.0,Low,5.0
465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0
464702,Male,Yes,59,No,Artist,2.0,Average,2.0
459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0
465053,Male,Yes,82,Yes,Executive,0.0,High,2.0
459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0
464166,Male,No,31,Yes,Artist,5.0,Low,2.0
458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0
467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0
464866,Female,No,23,No,Engineer,11.0,Low,1.0
461081,Female,No,20,No,Healthcare,2.0,Low,6.0
467896,Female,No,22,No,Healthcare,4.0,Low,3.0
463991,Female,No,31,Yes,Engineer,8.0,Low,1.0
466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0
460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0
467934,Female,No,40,Yes,Artist,1.0,Low,1.0
467910,Female,No,21,No,Doctor,1.0,Low,3.0
467335,Female,Yes,41,No,Engineer,4.0,Average,2.0
460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0
459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0
465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0
459395,Male,Yes,42,No,Executive,8.0,Low,2.0
466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0
466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0
463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0
465539,Female,Yes,49,Yes,Artist,1.0,High,5.0
459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0
467614,Male,Yes,35,No,Artist,4.0,Average,2.0
459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0
464863,Female,Yes,25,No,Engineer,6.0,Average,8.0
460022,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0
459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0
466613,Male,No,23,No,Healthcare,8.0,Low,3.0
461149,Female,No,23,No,Healthcare,0.0,Low,3.0
466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0
461513,Male,No,33,Yes,Doctor,0.0,Low,2.0
466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0
459664,Male,No,37,Yes,Artist,2.0,Low,1.0
461967,Female,No,20,No,Marketing,3.0,Low,4.0
461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0
462742,Male,No,18,No,Healthcare,0.0,Low,3.0
459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0
467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0
463429,Female,No,28,Yes,Artist,7.0,Low,3.0
464024,Male,No,20,No,Healthcare,0.0,Low,5.0
460691,Female,No,27,No,Homemaker,8.0,Low,1.0
467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0
465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0
464801,Male,No,40,No,Marketing,1.0,Low,1.0
463467,Female,No,23,No,Healthcare,0.0,Low,4.0
462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0
461282,Male,No,21,No,Healthcare,0.0,Low,4.0
460448,Female,No,38,Yes,Artist,9.0,Low,1.0
464464,Male,No,28,No,Healthcare,0.0,Low,4.0
462410,Female,No,32,No,Healthcare,1.0,Low,5.0
459756,Female,Yes,56,No,Lawyer,1.0,High,4.0
463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0
466947,Male,Yes,57,No,Executive,1.0,High,5.0
464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0
465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0
461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0
466768,Female,Yes,36,Yes,Artist,0.0,Low,4.0
461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0
462438,Male,No,22,No,Doctor,1.0,Low,3.0
460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0
464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0
467050,Female,No,21,No,Engineer,0.0,Low,5.0
466176,Male,No,38,Yes,Doctor,8.0,Low,1.0
467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0
465425,Female,No,31,No,Engineer,1.0,Low,4.0
462318,Female,Yes,82,No,Lawyer,0.0,Average,2.0
460197,Male,No,38,Yes,Artist,8.0,Low,3.0
459375,Male,Yes,18,No,Executive,0.0,High,4.0
463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0
462721,Female,Yes,72,No,Lawyer,1.0,High,3.0
465809,Female,No,25,No,Homemaker,1.0,Low,7.0
466915,Female,Yes,75,No,Entertainment,2.0,High,2.0
467343,Male,No,72,Yes,Artist,1.0,Low,1.0
466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0
464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0
464038,Male,Yes,40,Yes,Artist,1.0,Low,2.0
460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0
462161,Female,No,28,Yes,Doctor,0.0,Low,3.0
464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0
464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0
467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0
465974,Male,Yes,52,Yes,Executive,7.0,High,4.0
462075,Female,No,40,Yes,Artist,1.0,Low,1.0
459494,Female,Yes,69,No,Engineer,9.0,Low,3.0
466921,Female,No,22,No,Healthcare,3.0,Low,3.0
463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0
461167,Male,Yes,29,Yes,Marketing,1.0,High,2.0
467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0
462408,Male,No,32,Yes,Artist,1.0,Low,2.0
466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0
465151,Male,Yes,59,Yes,Artist,0.0,Low,1.0
467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0
460586,Male,No,26,Yes,Healthcare,1.0,Low,2.0
461197,Male,No,28,No,Marketing,0.0,Low,1.0
462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0
464088,Male,No,27,No,Doctor,1.0,Low,3.0
464695,Male,No,26,No,Engineer,0.0,Low,4.0
462331,Female,No,31,No,Entertainment,0.0,Low,2.0
466523,Male,Yes,39,Yes,Executive,1.0,High,3.0
465337,Female,Yes,43,No,Engineer,1.0,Low,3.0
460834,Male,Yes,25,No,Doctor,1.0,Low,2.0
466824,Male,Yes,40,Yes,Artist,3.0,High,3.0
461607,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0
466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0
466597,Female,No,19,No,Healthcare,1.0,Low,2.0
464075,Female,Yes,86,Yes,Lawyer,0.0,High,2.0
462163,Female,Yes,27,Yes,Artist,4.0,Average,2.0
463895,Female,Yes,70,No,Doctor,0.0,Average,2.0
464767,Female,Yes,53,No,Engineer,8.0,Average,4.0
463738,Male,Yes,43,No,Executive,0.0,High,4.0
465967,Male,Yes,36,No,Doctor,6.0,Low,3.0
462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0
467234,Female,No,30,No,Homemaker,0.0,Low,4.0
466573,Female,No,37,Yes,Artist,5.0,Low,2.0
463229,Female,No,22,No,Marketing,0.0,Low,1.0
459768,Male,No,19,No,Healthcare,0.0,Low,4.0
462541,Male,Yes,70,Yes,Engineer,4.0,High,2.0
467714,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0
459474,Male,No,25,Yes,Doctor,6.0,Low,1.0
460093,Female,No,45,Yes,Artist,4.0,Low,1.0
467865,Female,No,35,Yes,Artist,3.0,Low,1.0
465758,Female,Yes,37,No,Engineer,7.0,Low,1.0
464184,Female,Yes,39,No,Engineer,4.0,Average,2.0
462618,Female,No,32,Yes,Healthcare,1.0,Low,5.0
464226,Female,Yes,62,Yes,Artist,2.0,Average,3.0
465432,Female,Yes,58,Yes,Engineer,0.0,Average,4.0
466627,Male,No,25,No,Healthcare,0.0,Low,5.0
467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0
465842,Female,No,36,Yes,Entertainment,10.0,Low,2.0
464622,Female,No,30,No,Healthcare,8.0,Low,3.0
462083,Male,No,19,No,Healthcare,1.0,Low,5.0
460910,Male,No,27,Yes,Healthcare,0.0,Low,2.0
460255,Female,No,38,Yes,Doctor,14.0,Low,1.0
460109,Male,Yes,46,Yes,Artist,8.0,Average,2.0
464306,Male,No,29,Yes,Artist,3.0,Low,1.0
466835,Male,Yes,51,No,Entertainment,1.0,Average,4.0
465192,Male,Yes,55,No,Artist,0.0,Low,1.0
463380,Female,Yes,69,Yes,Engineer,1.0,Low,1.0
462391,Female,No,26,No,Healthcare,1.0,Low,8.0
467086,Female,Yes,83,Yes,Lawyer,0.0,Low,3.0
460306,Female,No,39,Yes,Healthcare,9.0,Low,1.0
460752,Male,Yes,35,Yes,Artist,9.0,Low,1.0
467264,Male,Yes,19,No,Marketing,2.0,High,5.0
466258,Female,No,29,No,Healthcare,1.0,Low,3.0
463719,Female,No,26,No,Doctor,0.0,Low,1.0
460032,Male,No,36,Yes,Engineer,8.0,Low,1.0
465175,Female,No,22,No,Homemaker,0.0,Low,4.0
466610,Male,No,19,No,Marketing,0.0,Low,5.0
459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0
464047,Male,No,43,Yes,Healthcare,3.0,Low,3.0
459997,Male,No,43,Yes,Entertainment,1.0,Low,2.0
463382,Female,Yes,50,Yes,Engineer,4.0,High,3.0
460967,Male,No,25,Yes,Entertainment,1.0,Low,2.0
465094,Male,Yes,61,No,Artist,1.0,High,2.0
461229,Female,Yes,28,Yes,Healthcare,0.0,Average,2.0
466442,Male,No,38,Yes,Artist,1.0,Low,1.0
464527,Male,No,25,No,Executive,12.0,Low,3.0
463560,Female,No,18,No,Healthcare,9.0,Low,5.0
460011,Male,Yes,43,Yes,Entertainment,1.0,Average,5.0
467207,Female,No,27,Yes,Artist,8.0,Low,1.0
465177,Female,No,60,Yes,Entertainment,1.0,Low,2.0
467531,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0
462842,Male,No,23,No,Doctor,6.0,Low,4.0
462124,Male,No,36,Yes,Artist,8.0,Low,1.0
466265,Male,No,30,No,Doctor,1.0,Low,1.0
