id,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
1, A1,2019,Automatic,3500,Petrol,145,40.9,2.0
2, RS4,2020,Semi-Auto,2500,Petrol,145,28.8,2.9
3, A8,2019,Semi-Auto,500,Diesel,145,40.4,3.0
4, Q5,2019,Semi-Auto,5089,Diesel,150,38.2,2.0
5, A5,2020,Semi-Auto,4951,Diesel,145,51.4,2.0
6, Q3,2017,Semi-Auto,9811,Petrol,145,47.9,1.4
7, R8,2013,Manual,19834,Petrol,570,19.6,4.2
8, Q2,2019,Automatic,5123,Petrol,145,33.2,2.0
9, A3,2017,Manual,17372,Diesel,20,70.6,1.6
10, A3,2017,Manual,68643,Diesel,0,74.3,1.6
11, A6,2019,Automatic,7524,Diesel,145,50.4,2.0
12, A4,2019,Automatic,6000,Petrol,145,42.2,2.0
13, Q3,2019,Manual,10,Petrol,145,39.8,1.5
14, A3,2019,Manual,6081,Diesel,145,55.4,2.0
15, TT,2016,Manual,7908,Petrol,145,47.1,1.8
16, A1,2017,Manual,21676,Petrol,145,55.4,1.4
17, A6,2017,Semi-Auto,35786,Diesel,145,64.2,2.0
18, Q5,2019,Semi-Auto,2574,Diesel,145,39.2,2.0
19, A1,2017,Manual,38000,Petrol,30,56.5,1.4
20, A3,2016,Semi-Auto,29012,Petrol,30,55.4,1.4
21, Q5,2017,Semi-Auto,14794,Petrol,145,40.4,2.0
22, Q3,2014,Manual,79389,Diesel,165,50.4,2.0
23, A5,2017,Semi-Auto,31286,Diesel,125,60.1,3.0
24, Q3,2017,Automatic,27285,Petrol,145,47.9,1.4
25, A3,2015,Semi-Auto,48194,Diesel,20,70.6,1.6
26, Q5,2016,Semi-Auto,38197,Diesel,200,47.1,2.0
27, A4,2014,Automatic,33894,Diesel,200,47.1,0.0
28, A3,2017,Manual,36935,Diesel,145,70.6,1.6
29, A4,2017,Manual,49000,Diesel,30,64.2,2.0
30, Q5,2019,Semi-Auto,4770,Diesel,145,38.2,2.0
