age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
39,State-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States
50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States
38,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
53,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States
28,Private,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba
37,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States
49,Private,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica
52,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
31,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States
42,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States
37,Private,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States
30,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India
23,Private,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States
32,Private,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States
34,Private,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico
25,Self-emp-not-inc,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States
32,Private,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States
38,Private,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
43,Self-emp-not-inc,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States
40,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
54,Private,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States
35,Federal-gov,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States
43,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States
59,Private,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States
56,Local-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
19,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
39,Private,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States
49,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
23,Local-gov,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States
20,Private,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States
45,Private,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States
30,Federal-gov,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States
22,State-gov,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States
48,Private,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico
21,Private,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States
19,Private,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States
48,Self-emp-not-inc,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
31,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States
53,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
24,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States
49,Private,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
25,Private,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States
57,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States
53,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States
44,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States
41,State-gov,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
29,Private,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States
25,Private,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States
47,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras
50,Federal-gov,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States
47,Self-emp-inc,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States
43,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
46,Private,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico
35,Private,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico
41,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States
30,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States
30,Private,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States
48,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
42,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States
29,Private,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States
36,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
28,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
53,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
