student id,Statistics,DataScience,MachineLearning,EnglishLiterature
1,,54,94,62
2,76,16,80,
3,6,,68,45
4,84,30,76,
5,,53,33,90
6,18,,6,2
7,26,25,13,
8,63,,91,62
9,57,,37,45
10,,21,69,49
11,25,,12,52
12,70,47,73,
13,10,72,90,
14,16,95,94,
15,38,48,60,
16,,6,70,1
17,63,,65,21
18,46,0,,86
19,36,26,20,
20,84,34,,61
21,,30,27,73
22,72,,52,84
23,,23,62,48
24,59,43,42,
25,13,9,,27
26,,90,34,70
27,41,37,6,
28,58,85,3,
29,75,11,29,
30,78,83,26,
31,80,35,52,
32,17,,80,10
33,60,73,99,
34,,25,26,51
35,,79,27,4
36,,85,53,23
37,,22,92,43
38,6,13,77,
39,17,,40,94
40,68,,18,2
41,,27,8,79
42,,51,87,47
43,,63,30,13
44,92,,46,14
45,46,,45,97
46,4,,10,63
47,,18,72,58
48,73,13,12,
49,29,78,77,
50,9,46,,60
51,76,29,,75
52,24,59,72,
53,15,54,,32
54,80,11,,15
55,25,21,,22
56,,81,92,91
57,,72,91,92
58,,99,30,41
59,9,52,,43
60,,81,50,16
61,64,,26,7
62,54,,82,58
63,75,57,,58
64,76,,13,72
65,,18,17,42
66,44,98,,75
67,87,70,78,
68,46,54,,50
69,43,65,78,
70,,6,47,44
71,9,,3,9
72,,34,94,1
73,38,,78,80
74,94,,50,13
75,86,,46,99
76,87,,37,93
77,,90,82,86
78,6,74,43,
79,1,,73,90
80,,48,79,17
81,19,,19,65
82,27,35,,9
83,13,,53,70
84,88,10,43,
85,,5,40,15
86,14,85,0,
87,35,97,14,
88,6,88,,3
89,68,,95,27
90,67,34,41,
91,,13,17,40
92,74,38,,42
93,,67,27,60
94,15,34,50,
95,44,,84,52
96,25,,75,44
97,81,5,83,
98,71,,68,95
99,93,91,,32
100,41,82,29,
101,13,9,54,
102,8,25,33,
103,17,,47,16
104,49,62,,71
105,94,,80,86
106,,37,9,46
107,12,88,,22
108,56,,78,45
109,33,62,,4
110,69,,76,41
111,12,0,69,
112,,22,97,49
113,,65,10,70
114,16,71,27,
115,38,84,,41
116,82,,70,38
117,34,,74,40
