age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
26,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
38,Local-gov,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,1887,40,United-States
57,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,60,United-States
38,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
40,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
29,Private,11,Divorced,Other-service,Unmarried,White,Female,0,0,45,Columbia
48,Private,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,36,United-States
61,Self-emp-inc,14,Widowed,Exec-managerial,Unmarried,White,Female,0,0,99,United-States
18,Private,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States
53,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,7688,0,20,China
31,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,45,United-States
37,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
35,Private,12,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
32,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States
37,Private,10,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States
42,Private,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,7298,0,35,United-States
62,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States
49,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,45,United-States
47,Self-emp-inc,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,70,United-States
48,Private,10,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States
33,Federal-gov,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States
44,Private,10,Separated,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States
27,Self-emp-not-inc,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,30,United-States
31,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,1408,40,United-States
40,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
27,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,Mexico
59,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
32,Private,10,Never-married,Machine-op-inspct,Other-relative,White,Female,0,2205,40,Holand-Netherlands
54,Private,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
56,Private,10,Divorced,Other-service,Not-in-family,White,Male,0,0,30,United-States
44,State-gov,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,1590,40,United-States
25,State-gov,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,19,United-States
24,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
47,Private,10,Widowed,Transport-moving,Unmarried,White,Female,0,0,25,Outlying-US(Guam-USVI-etc)
30,Self-emp-not-inc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States
39,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
31,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
33,Private,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,35,Puerto-Rico
29,State-gov,6,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States
41,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,43,United-States
41,Private,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,United-States
62,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
29,Private,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States
46,Local-gov,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
