customer_id,age_group,p_bank_loan,s_bank_loan
A001,청년,257,175
A002,청년,199,160
A003,청년,279,223
A004,중년,388,357
A005,중년,430,388
A006,중년,312,299
A007,장년,523,477
A008,장년,588,488
A009,장년,457,423
A010,청년,223,199
A011,청년,177,146
A012,중년,399,368
A013,장년,512,468
A014,청년,246,212
A015,중년,357,323
A016,청년,212,188
A017,중년,412,377
A018,장년,543,499
A019,청년,288,246
A020,중년,368,335
A021,장년,499,457
A022,청년,235,199
A023,중년,410,368
A024,장년,557,488
A025,청년,265,223
A026,중년,377,346
A027,장년,535,477
A028,청년,210,177
A029,중년,432,388
A030,장년,568,499
A031,청년,257,212
A032,중년,388,357
A033,장년,512,468
A034,청년,223,188
A035,중년,412,377
A036,장년,543,488
A037,청년,279,235
A038,중년,399,368
A039,장년,523,477
A040,청년,246,210
A041,중년,410,377
A042,장년,557,499
A043,청년,265,223
A044,중년,377,346
A045,장년,535,477
A046,청년,212,177
A047,중년,430,388
A048,장년,568,499
A049,청년,288,246
A050,중년,357,323
A051,장년,512,468
A052,청년,235,199
A053,중년,412,377
A054,장년,543,488
A055,청년,257,212
A056,중년,388,357
A057,장년,523,477
A058,청년,223,188
A059,중년,410,377
A060,장년,557,499
A061,청년,279,235
A062,중년,368,335
A063,장년,535,477
A064,청년,246,210
A065,중년,430,388
A066,장년,568,499
A067,청년,265,223
A068,중년,377,346
A069,장년,512,468
A070,청년,212,177
A071,중년,412,377
A072,장년,543,488
A073,청년,288,246
A074,중년,388,357
A075,장년,523,477
A076,청년,235,199
A077,중년,410,377
A078,장년,557,499
A079,청년,257,212
A080,중년,368,335
A081,장년,535,477
A082,청년,223,188
A083,중년,430,388
A084,장년,568,499
A085,청년,279,235
A086,중년,377,346
A087,장년,512,468
A088,청년,246,210
A089,중년,412,377
A090,장년,543,488
A091,청년,265,223
A092,중년,388,357
A093,장년,523,477
A094,청년,212,177
A095,중년,410,377
A096,장년,557,499
A097,청년,288,246
A098,중년,368,335
A099,장년,535,477
A100,청년,257,212
