age,calls,internet_usage,monthly_charge,customer_support_calls,churn,contract_length,data_usage,sms_usage,gender,payment_method_Credit Card,payment_method_PayPal,region_North,region_South,region_West
56,25,8,68.60090428963916,8,1,2,13.510584858510084,107,1,0,1,1,0,0
69,27,7,88.82064803709984,5,0,1,17.161052852790597,125,0,0,0,0,0,1
46,46,5,67.0401770126509,7,1,26,17.478589818236244,19,1,0,0,0,1,0
32,28,5,96.53786628017824,7,1,29,14.45889655758566,187,1,0,0,0,0,1
60,49,8,92.9206375921506,7,1,21,16.90325323890977,151,0,1,0,1,0,0
25,24,8,71.44970136875092,9,1,11,14.25195777171639,49,0,1,0,0,0,1
38,20,9,87.54355338957487,6,0,11,13.922674663445708,176,1,0,1,0,0,0
56,38,9,87.72714370423412,9,0,35,12.753616186088502,178,1,0,1,0,0,1
36,29,7,55.15619344179663,6,1,34,15.301616151595184,95,1,1,0,1,0,0
40,31,8,95.12764533397834,7,0,24,4.0134970005684005,104,0,0,1,0,0,1
28,43,5,75.26261862239286,7,1,22,17.73654442477964,163,0,1,0,0,1,0
28,34,9,91.32287330538708,9,0,5,17.56502702715941,116,0,0,0,0,0,1
41,46,9,66.00248005153058,9,0,33,1.5556983776566238,97,0,0,0,0,1,0
53,41,5,94.77616142481003,6,0,20,16.690518260730492,65,0,0,1,0,0,0
57,43,9,69.46008393670816,8,0,19,3.448527481995459,78,0,1,0,0,1,0
41,28,7,50.54188257401492,6,1,35,7.367258230923696,161,1,1,0,0,0,1
20,39,8,95.26909882096318,9,0,17,15.126656869540547,163,1,0,1,1,0,0
39,36,5,54.56433383930668,9,0,34,4.0544380249178555,5,0,1,0,0,1,0
19,49,8,65.96568187952074,5,0,9,16.541373458262182,38,1,0,0,0,0,0
41,36,9,97.50309835254025,9,0,26,16.8105493811971,169,1,0,1,0,1,0
61,45,9,97.5303573468778,5,1,2,10.641886941455887,114,0,0,1,0,1,0
47,39,5,78.67189440616431,8,0,9,1.121331562619838,185,1,1,0,0,1,0
55,31,7,81.59186060848997,6,0,9,6.453724530323343,124,0,0,1,0,0,0
19,49,6,72.42227609891599,6,0,17,12.721611449139102,11,0,1,0,0,0,1
38,26,5,64.66053858490322,5,1,1,19.642537382521045,130,1,1,0,0,1,0
50,21,6,66.4332272684958,6,0,25,13.0044570133167,17,0,1,0,0,1,0
29,22,6,83.62592280385192,9,1,25,5.936268040219036,39,0,1,0,1,0,0
39,36,7,87.618726471884,7,1,35,13.046108358892615,20,0,1,0,0,0,0
61,24,6,89.57895218629243,5,0,3,11.259722214601254,142,0,0,1,0,1,0
42,36,6,89.48090713972769,6,0,30,15.817062507871729,98,0,0,0,0,0,0
66,43,7,54.560305152434516,5,0,34,3.0326321377122096,25,0,0,0,0,1,0
44,36,6,74.72101523512907,5,0,12,15.459530147538532,7,0,0,1,0,0,1
59,46,6,52.877938000832216,7,1,19,11.284064994846096,99,0,0,1,0,0,1
45,36,6,77.47644411618677,9,1,17,19.2968480733209,86,1,0,0,0,1,0
33,21,5,72.07652506866884,5,0,10,7.495571154735035,41,1,0,0,0,0,1
32,21,5,94.38520913791498,6,0,12,13.019815969545014,171,1,0,0,0,1,0
64,47,5,67.54575062760394,8,0,16,18.708534004690332,13,0,0,0,0,0,1
