cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
k,s,g,f,n,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,s,g
x,f,w,f,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,n,g
x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
f,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g
k,y,e,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l
k,s,e,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
f,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
x,f,w,f,n,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,s,g
x,f,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g
x,y,e,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l
f,f,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d
x,f,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g
f,y,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d
k,f,w,f,n,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,n,g
b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
x,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d
x,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g
k,y,b,t,n,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w
f,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
f,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g
b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
x,f,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
x,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g
f,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d
f,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d
f,y,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p
b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
x,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d
k,y,e,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
f,y,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d
f,y,w,f,n,f,c,n,w,e,?,s,f,w,w,p,w,o,f,h,v,d
