Gender,Education,Occupation Type,Residence Type,Experience Using Metaverse,Age,Annual Salary,Preferred Metaverse Type
female,Elementary school graduate,Wholesale industry,Apartment,no,76,144766,1
female,Bachelor's degree,Wholesale industry,Townhouse,no,71,218622,0
other,Doctorate,Manufacturing industry,Townhouse,yes,50,172358,0
female,Bachelor's degree,Electric power industry,Townhouse,no,38,472211,1
male,Middle school graduate,Manufacturing industry,Townhouse,no,10,90360,0
male,Elementary school graduate,Insurance industry,Townhouse,yes,19,113776,3
male,Elementary school graduate,Repair industry,Multiple home,no,91,457330,1
female,Master's degree,Maintenance industry,Single-family home,no,77,401139,1
female,Bachelor's degree,Agriculture,Officetel,yes,62,390219,3
female,Doctorate,Fishing industry,Multiple home,yes,11,303385,0
female,Doctorate,Water industry,Multiple home,yes,12,149179,3
other,Middle school graduate,Wholesale industry,Townhouse,yes,41,217069,1
other,Middle school graduate,Construction industry,Townhouse,no,14,63617,1
female,Middle school graduate,Retail industry,Officetel,no,67,445605,3
male,Middle school graduate,Fishing industry,Multiple home,yes,11,287793,3
other,Elementary school graduate,Gas industry,Officetel,no,93,35115,0
other,Master's degree,Forestry,Multi-family home,yes,59,210441,2
male,High school graduate,Electric power industry,Townhouse,no,69,479294,1
male,Doctorate,Fishing industry,Single-family home,no,92,225639,2
male,Master's degree,Broadcasting industry,Multiple home,no,48,33398,1
male,Master's degree,Mining,Single-family home,yes,51,17819,3
other,High school graduate,Distribution industry,Officetel,no,48,442500,2
other,Master's degree,Wholesale industry,Apartment,yes,80,418832,1
male,High school graduate,Manufacturing industry,Townhouse,no,69,9919,2
male,Bachelor's degree,Manufacturing industry,Single-family home,yes,27,37258,2
male,Master's degree,Water industry,Multi-family home,no,63,332559,3
male,Bachelor's degree,Repair industry,Townhouse,no,57,378404,1
male,Middle school graduate,Distribution industry,Single-family home,yes,20,409187,2
female,Middle school graduate,Fishing industry,Officetel,no,54,164885,3
female,High school graduate,Finance industry,Officetel,no,24,391276,2
female,Middle school graduate,Gas industry,Multi-family home,yes,33,289192,2
male,Middle school graduate,Retail industry,Multiple home,no,65,369787,1
male,Bachelor's degree,Retail industry,Apartment,no,12,91490,2
female,Elementary school graduate,Maintenance industry,Single-family home,no,48,342448,1
other,Elementary school graduate,Gas industry,Single-family home,no,3,291291,0
male,Bachelor's degree,Mining,Townhouse,yes,74,103738,2
female,Middle school graduate,Service industry,Townhouse,yes,73,58178,0
other,Middle school graduate,Construction industry,Townhouse,yes,50,264737,0
other,Middle school graduate,Water industry,Multiple home,no,33,171833,3
female,Master's degree,Retail industry,Single-family home,no,42,102832,0
other,Master's degree,Broadcasting industry,Multi-family home,yes,23,34860,0
female,Bachelor's degree,Forestry,Single-family home,yes,16,341167,2
male,Elementary school graduate,Gas industry,Single-family home,no,1,207776,3
male,Doctorate,Mining,Single-family home,yes,91,19480,3
male,Doctorate,Agriculture,Single-family home,no,12,432034,2
other,Master's degree,Fishing industry,Officetel,no,36,13059,2
male,Middle school graduate,Electric power industry,Multiple home,no,54,351607,2
female,Middle school graduate,Fishing industry,Officetel,no,54,164885,3
male,Master's degree,Repair industry,Apartment,yes,68,274860,1
male,Master's degree,Manufacturing industry,Multi-family home,yes,36,398442,0
other,Elementary school graduate,Electric power industry,Multiple home,no,66,217373,0
female,Elementary school graduate,Distribution industry,Multi-family home,yes,86,106267,0
other,Elementary school graduate,Distribution industry,Multiple home,no,57,344038,1
female,Elementary school graduate,Manufacturing industry,Townhouse,yes,53,12581,1
other,Elementary school graduate,Gas industry,Single-family home,no,3,291291,0
male,Bachelor's degree,Retail industry,Officetel,no,28,77350,2
male,High school graduate,Retail industry,Apartment,yes,56,199126,3
male,Middle school graduate,Repair industry,Single-family home,no,41,49273,1
male,Master's degree,Fishing industry,Apartment,no,89,199654,2
female,Middle school graduate,Retail industry,Multiple home,yes,40,346046,3
male,High school graduate,Distribution industry,Multi-family home,no,91,443819,0
female,High school graduate,Broadcasting industry,Multi-family home,yes,4,378826,3
other,Master's degree,Manufacturing industry,Officetel,yes,85,509530,1
male,High school graduate,Broadcasting industry,Single-family home,no,58,220175,1
male,Doctorate,Wholesale industry,Multiple home,no,44,319486,3
male,Elementary school graduate,Electric power industry,Apartment,yes,71,51263,2
male,Doctorate,Water industry,Multi-family home,yes,102,41942,3
male,Master's degree,Fishing industry,Apartment,no,85,193604,3
male,Middle school graduate,Construction industry,Multiple home,no,92,110270,0
other,Elementary school graduate,Electric power industry,Single-family home,no,92,318919,3
female,Middle school graduate,Electric power industry,Single-family home,no,48,431941,1
female,Doctorate,Water industry,Multi-family home,no,87,266061,1
other,Doctorate,Repair industry,Officetel,no,100,152577,0
male,Master's degree,Gas industry,Single-family home,yes,2,368879,0
female,Doctorate,Water industry,Multiple home,yes,12,149179,3
female,Middle school graduate,Construction industry,Apartment,no,39,401154,3
other,Elementary school graduate,Water industry,Officetel,no,59,128323,1
male,Bachelor's degree,Retail industry,Single-family home,no,76,172772,2
other,Master's degree,Mining,Single-family home,no,37,327653,2
