id,Length,Height,Width,FinSize,Weight
1,63.91,28.72,3.46,18.22,194.32
2,77.22,14.45,7.12,15.71,194.59
3,68.22,30.73,4.09,7.33,191.24
4,63.59,38.68,2.21,2.54,194.23
5,53.89,13.71,0.73,8.74,131.82
6,71.67,25.17,1.14,5.41,183.42
7,55.01,25.72,6.95,3.52,153.67
8,91.34,25.03,4.81,2.02,225.12
9,97.09,12.81,5.6,14.79,230.77
10,50.68,38.35,9.02,1.22,163.18
11,83.34,20.65,9.91,15.64,217.94
12,62.31,34.62,2.56,3.79,181.08
13,65.44,29.48,6.8,2.51,177.41
14,94.05,15.41,3,2.7,211.35
15,25.68,33.48,0.7,13.77,117.07
16,26.97,18.88,7.7,5.66,87.32
17,21.62,35.84,3.54,8.99,101.97
18,86.61,25.34,4.14,11.59,223.33
19,82.25,35.86,6.09,17.35,237.9
20,89.6,29.24,8.39,14.81,253.35
21,98.29,30.38,6.48,6.14,248.01
22,83.93,22.55,8.79,3.5,214.3
23,56.92,38.46,3.1,2.05,178.87
24,82.44,27.54,8.08,6.73,211.02
25,29.46,19.83,2.26,5.98,99.64
26,71.19,26.22,9.55,9.67,190.24
27,31.47,5.67,7.03,13.98,75.64
28,95.57,15.56,2.55,14.22,233.01
29,61.75,28.11,9.5,6.39,168.03
30,53.17,15.15,7.44,8.22,143.26
31,41.16,26.63,2.91,4.44,124.74
32,81.94,20.01,2.53,15.98,219.44
33,56.49,9.74,5.42,2.08,137.72
34,65.47,15.44,0.74,14.24,166.44
35,21.5,24.95,2.47,15.8,94.02
36,69.41,25.68,4.53,15.77,189.3
37,68.97,25.1,4.05,5.93,181.34
38,69.35,27.86,4.9,8.1,189.64
39,95.5,27.82,3.14,12.16,244.64
40,74.55,20.1,6.07,6.18,189.25
41,48.76,36.38,8.71,8.05,167.39
42,54.96,17.86,1.62,4.74,144.01
43,75.81,20.26,5.42,9.74,190.64
44,24.82,36.22,1.75,1.85,99.51
45,73.34,33.22,7.31,16.2,223.19
46,73.65,29.64,4.26,2.46,192.9
47,36.83,8.51,5.87,10.86,96.96
48,30.31,37.18,2.24,6.83,121.73
49,45.23,30,1.88,11.97,139.15
50,49.1,39.96,5.14,19.23,177.55
51,65.62,10.23,3.88,13.27,159.4
52,55.09,35.38,9.43,1.67,172.74
53,99.07,10.69,7.77,9.18,230.73
54,28.16,26.54,7.61,10.69,110.64
55,36.71,9.33,9.09,11.19,107.81
56,32.9,34.68,1.29,13.95,134.11
57,72.25,33.26,5.75,6.27,203.46
58,40.26,24.92,6.05,3.45,125.18
59,57.3,19.25,9.64,8.46,155.8
60,39.55,7.42,3.28,19.17,109.07
61,32.72,29.41,2.79,4.56,114.17
62,28.83,20.87,1.45,18.18,102.23
63,72.51,30.27,0.66,11.33,203.49
64,31.05,35.32,9.33,9.68,124.46
65,35.73,39.14,6.86,17.76,155.57
66,49.5,34.95,7.96,9.71,163.87
67,85.68,5.41,3.18,14.76,196.07
68,27.77,17.6,6.07,8.58,96.02
69,87.04,30.55,1.11,18.18,241.86
70,27.69,11.01,5.11,14.11,80.71
71,98.12,23.24,9.79,14.29,249.25
72,57.49,6.9,8.83,7.23,141.38
73,98.14,12,3.71,15.38,223.02
74,68.39,5.65,9.63,13.09,165.1
75,79.14,32.78,2.7,5.56,203.08
76,23.14,12.84,9.52,4.05,69.24
77,42.62,17.09,9.44,16.13,131.92
78,29.62,37.48,8.09,19.22,130.44
79,43.69,29.65,6.49,9.7,139.87
80,29.5,6.11,8.81,12.23,77.44
81,45.44,10.76,3.28,17.3,134.2
82,53.14,26.75,8.56,9.69,161.2
83,25.13,25.2,6.37,19.09,113.17
84,75.4,13.33,0.63,11.94,181.94
85,65.33,37.7,3.8,16.59,203.93
86,41.23,26.49,1.91,18.27,133.34
87,61.86,23.75,9.83,16.49,179.29
88,27.52,25.65,5.04,4.03,96.26
89,66.08,30.55,5.23,12.95,197.84
90,94.34,15.92,6.57,8.57,230.12
91,45.49,18.94,4,2.19,130.91
92,73.39,12.34,1.8,9.06,179.51
93,30.54,11.52,8.31,5.91,85.43
94,77.31,38.05,2.3,17.13,224.4
95,43.15,30.88,5.36,1.63,140.76
96,34.66,22.17,2.63,19.22,124.89
97,66.92,12.96,1.43,7.75,152.9
98,21.61,13.9,8.69,7.78,77.97
99,86.32,7.03,9.74,1.31,193.44
100,20.38,20.2,9.63,4.52,80.69
