ID,인종,수학 점수,읽기 점수,쓰기 점수
1,B그룹,72,72,74
2,C그룹,69,90,88
3,B그룹,90,95,93
4,A그룹,47,57,44
5,C그룹,76,78,75
6,B그룹,71,83,78
7,B그룹,88,95,92
8,B그룹,40,43,39
9,D그룹,64,64,67
10,B그룹,38,60,50
11,C그룹,58,54,52
12,D그룹,40,52,43
13,B그룹,65,81,73
14,A그룹,78,72,70
15,A그룹,50,53,58
16,C그룹,69,75,78
17,C그룹,88,89,86
18,B그룹,18,32,28
19,C그룹,46,42,46
20,C그룹,54,58,61
21,D그룹,66,69,63
22,B그룹,65,75,70
23,D그룹,44,54,53
24,C그룹,69,73,73
25,D그룹,74,71,80
26,A그룹,73,74,72
27,B그룹,69,54,55
28,C그룹,67,69,75
29,C그룹,70,70,65
30,D그룹,62,70,75
31,D그룹,69,74,74
32,B그룹,63,65,61
33,group E,56,72,65
34,D그룹,40,42,38
35,group E,97,87,82
36,group E,81,81,79
37,D그룹,74,81,83
38,D그룹,50,64,59
39,D그룹,75,90,88
40,B그룹,57,56,57
41,C그룹,55,61,54
42,C그룹,58,73,68
43,B그룹,53,58,65
44,B그룹,59,65,66
45,group E,50,56,54
46,B그룹,65,54,57
47,A그룹,55,65,62
48,C그룹,66,71,76
49,D그룹,57,74,76
50,C그룹,82,84,82
51,group E,53,55,48
52,group E,77,69,68
53,C그룹,53,44,42
54,D그룹,88,78,75
55,C그룹,71,84,87
56,C그룹,33,41,43
57,group E,82,85,86
58,D그룹,52,55,49
59,D그룹,58,59,58
60,C그룹,0,17,10
61,group E,79,74,72
62,A그룹,39,39,34
63,A그룹,62,61,55
64,C그룹,69,80,71
65,D그룹,59,58,59
66,B그룹,67,64,61
67,D그룹,45,37,37
68,C그룹,60,72,74
69,B그룹,61,58,56
70,C그룹,39,64,57
71,D그룹,58,63,73
72,D그룹,63,55,63
73,A그룹,41,51,48
74,C그룹,61,57,56
75,C그룹,49,49,41
76,B그룹,44,41,38
77,group E,30,26,22
78,A그룹,80,78,81
79,D그룹,61,74,72
80,group E,62,68,68
81,B그룹,47,49,50
82,B그룹,49,45,45
83,A그룹,50,47,54
84,group E,72,64,63
85,D그룹,42,39,34
86,C그룹,73,80,82
87,C그룹,76,83,88
88,D그룹,71,71,74
89,A그룹,58,70,67
90,D그룹,73,86,82
91,C그룹,65,72,74
92,C그룹,27,34,36
93,C그룹,71,79,71
94,C그룹,43,45,50
95,B그룹,79,86,92
96,C그룹,78,81,82
97,B그룹,65,66,62
98,group E,63,72,70
99,D그룹,58,67,62
100,D그룹,65,67,62
101,B그룹,79,67,67
102,D그룹,68,74,74
103,D그룹,85,91,89
104,B그룹,60,44,47
105,C그룹,98,86,90
106,C그룹,58,67,72
107,D그룹,87,100,100
108,group E,66,63,64
109,B그룹,52,76,70
110,B그룹,70,64,72
111,D그룹,77,89,98
112,C그룹,62,55,49
113,A그룹,54,53,47
114,D그룹,51,58,54
115,group E,99,100,100
116,C그룹,84,77,74
117,B그룹,75,85,82
118,D그룹,78,82,79
119,D그룹,51,63,61
120,C그룹,55,69,65
121,C그룹,79,92,89
122,B그룹,91,89,92
123,C그룹,88,93,93
124,D그룹,63,57,56
125,group E,83,80,73
126,B그룹,87,95,86
127,B그룹,72,68,67
128,D그룹,65,77,74
129,D그룹,82,82,74
130,A그룹,51,49,51
131,D그룹,89,84,82
132,C그룹,53,37,40
133,group E,87,74,70
134,C그룹,75,81,84
135,D그룹,74,79,75
136,C그룹,58,55,48
137,B그룹,51,54,41
138,group E,70,55,56
139,C그룹,59,66,67
140,D그룹,71,61,69
141,D그룹,76,72,71
142,C그룹,59,62,64
143,group E,42,55,54
144,A그룹,57,43,47
145,D그룹,88,73,78
146,C그룹,22,39,33
147,B그룹,88,84,75
148,C그룹,73,68,66
149,D그룹,68,75,81
150,group E,100,100,93
151,A그룹,62,67,69
152,A그룹,77,67,68
153,B그룹,59,70,66
154,D그룹,54,49,47
155,D그룹,62,67,61
156,C그룹,70,89,88
157,group E,66,74,78
158,B그룹,60,60,60
159,B그룹,61,86,87
160,D그룹,66,62,64
161,B그룹,82,78,74
162,group E,75,88,85
163,B그룹,49,53,52
164,C그룹,52,53,49
165,group E,81,92,91
166,C그룹,96,100,100
167,C그룹,53,51,51
168,B그룹,58,76,78
169,B그룹,68,83,78
170,C그룹,67,75,70
171,A그룹,72,73,74
172,group E,94,88,78
173,D그룹,79,86,81
174,C그룹,63,67,70
175,C그룹,43,51,54
176,C그룹,81,91,87
177,B그룹,46,54,58
178,C그룹,71,77,77
179,B그룹,52,70,62
180,D그룹,97,100,100
181,C그룹,62,68,75
182,C그룹,46,64,66
183,group E,50,50,47
184,D그룹,65,69,70
185,C그룹,45,52,49
186,C그룹,65,67,65
187,group E,80,76,65
188,D그룹,62,66,68
189,B그룹,48,52,45
190,C그룹,77,88,87
191,group E,66,65,69
192,D그룹,76,83,79
193,B그룹,62,64,66
194,D그룹,77,62,62
195,C그룹,69,84,85
196,D그룹,61,55,52
197,C그룹,59,69,65
198,group E,55,56,51
199,B그룹,45,53,55
200,B그룹,78,79,76
201,C그룹,67,84,86
202,D그룹,65,81,77
203,C그룹,69,77,69
204,B그룹,57,69,68
205,C그룹,59,41,42
206,D그룹,74,71,78
207,group E,82,62,62
208,group E,81,80,76
209,B그룹,74,81,76
210,B그룹,58,61,66
211,D그룹,80,79,79
212,C그룹,35,28,27
213,C그룹,42,62,60
214,C그룹,60,51,56
215,group E,87,91,81
216,B그룹,84,83,75
217,group E,83,86,88
218,C그룹,34,42,39
219,B그룹,66,77,70
220,B그룹,61,56,56
221,D그룹,56,68,74
222,B그룹,87,85,73
223,C그룹,55,65,62
224,D그룹,86,80,75
225,B그룹,52,66,73
226,group E,45,56,54
227,C그룹,72,72,71
228,D그룹,57,50,54
229,A그룹,68,72,64
230,C그룹,88,95,94
231,D그룹,76,64,66
232,C그룹,46,43,42
233,B그룹,67,86,83
234,group E,92,87,78
235,C그룹,83,82,84
236,D그룹,80,75,77
237,D그룹,63,66,67
238,D그룹,64,60,74
239,B그룹,54,52,51
240,C그룹,84,80,80
241,D그룹,73,68,66
242,group E,80,83,83
243,D그룹,56,52,55
244,group E,59,51,43
245,D그룹,75,74,69
246,C그룹,85,76,71
247,group E,89,76,74
248,B그룹,58,70,68
249,B그룹,65,64,62
250,C그룹,68,60,53
251,A그룹,47,49,49
252,D그룹,71,83,83
253,B그룹,60,70,70
254,D그룹,80,80,72
255,D그룹,54,52,52
256,group E,62,73,70
257,C그룹,64,73,68
258,C그룹,78,77,77
259,B그룹,70,75,78
260,C그룹,65,81,81
261,C그룹,64,79,77
262,C그룹,79,79,78
263,C그룹,44,50,51
264,group E,99,93,90
265,D그룹,76,73,68
266,D그룹,59,42,41
267,C그룹,63,75,81
268,D그룹,69,72,77
269,D그룹,88,92,95
270,group E,71,76,70
271,C그룹,69,63,61
272,C그룹,58,49,42
273,D그룹,47,53,58
274,D그룹,65,70,71
275,B그룹,88,85,76
276,C그룹,83,78,73
277,C그룹,85,92,93
278,group E,59,63,75
279,C그룹,65,86,80
280,B그룹,73,56,57
281,D그룹,53,52,42
282,D그룹,45,48,46
283,D그룹,73,79,84
284,D그룹,70,78,78
285,B그룹,37,46,46
286,B그룹,81,82,82
287,group E,97,82,88
288,B그룹,67,89,82
289,B그룹,88,75,76
290,group E,77,76,77
291,C그룹,76,70,68
292,D그룹,86,73,70
293,C그룹,63,60,57
294,group E,65,73,75
295,D그룹,78,77,80
296,B그룹,67,62,60
297,A그룹,46,41,43
298,group E,71,74,68
299,C그룹,40,46,50
300,D그룹,90,87,75
301,A그룹,81,78,81
302,D그룹,56,54,52
303,C그룹,67,84,81
304,B그룹,80,76,64
305,C그룹,74,75,83
306,A그룹,69,67,69
307,group E,99,87,81
308,C그룹,51,52,44
309,B그룹,53,71,67
310,D그룹,49,57,52
311,B그룹,73,76,80
312,B그룹,66,60,57
313,D그룹,67,61,68
314,C그룹,68,67,69
315,C그룹,59,64,75
316,C그룹,71,66,65
317,D그룹,77,82,91
318,C그룹,83,72,78
319,B그룹,63,71,69
320,D그룹,56,65,63
321,C그룹,67,79,84
322,group E,75,86,79
323,C그룹,71,81,80
324,C그룹,43,53,53
325,C그룹,41,46,43
326,C그룹,82,90,94
327,C그룹,61,61,62
328,A그룹,28,23,19
329,C그룹,82,75,77
330,B그룹,41,55,51
331,C그룹,71,60,61
