ID,성별,부모 학력 수준,학업 성적
1,여성,중간,보통
2,여성,낮음,우수
3,여성,높음,우수
4,남성,중간,낮음
5,남성,낮음,보통
6,여성,중간,보통
7,여성,낮음,우수
8,남성,낮음,낮음
9,남성,낮음,보통
10,여성,낮음,낮음
11,남성,중간,낮음
12,남성,중간,낮음
13,여성,낮음,보통
14,남성,낮음,보통
15,여성,높음,낮음
16,여성,낮음,보통
17,남성,낮음,우수
18,여성,낮음,낮음
19,남성,높음,낮음
20,여성,중간,보통
21,남성,낮음,보통
22,여성,낮음,보통
23,남성,낮음,낮음
24,여성,낮음,보통
25,남성,중간,보통
26,남성,높음,보통
27,남성,낮음,보통
28,여성,중간,보통
29,남성,낮음,보통
30,여성,높음,보통
31,여성,낮음,보통
32,여성,낮음,보통
33,여성,높음,보통
34,남성,낮음,낮음
35,남성,낮음,우수
36,남성,중간,우수
37,여성,중간,보통
38,여성,낮음,보통
39,여성,중간,우수
40,남성,중간,보통
41,남성,중간,보통
42,여성,중간,보통
43,여성,중간,보통
44,남성,낮음,보통
45,여성,중간,낮음
46,남성,중간,보통
47,여성,중간,보통
48,여성,낮음,보통
49,여성,중간,보통
50,남성,낮음,우수
51,남성,낮음,낮음
52,남성,중간,보통
53,남성,낮음,낮음
54,남성,낮음,우수
55,여성,낮음,우수
56,여성,낮음,낮음
57,여성,중간,우수
58,남성,중간,낮음
59,남성,낮음,보통
60,여성,낮음,낮음
61,남성,중간,보통
62,남성,낮음,낮음
63,남성,중간,보통
64,여성,중간,보통
65,여성,낮음,보통
66,남성,낮음,보통
67,남성,낮음,낮음
68,여성,낮음,보통
69,남성,중간,보통
70,여성,중간,낮음
71,여성,낮음,보통
72,남성,낮음,보통
73,여성,중간,낮음
74,남성,낮음,보통
75,남성,낮음,낮음
76,남성,중간,낮음
77,남성,낮음,낮음
78,남성,중간,우수
79,여성,낮음,보통
80,여성,높음,보통
81,여성,중간,낮음
82,남성,낮음,낮음
83,남성,낮음,낮음
84,남성,중간,보통
85,남성,낮음,낮음
86,여성,낮음,보통
87,여성,낮음,우수
88,여성,중간,보통
89,여성,낮음,보통
90,여성,낮음,우수
91,여성,중간,보통
92,남성,낮음,낮음
93,남성,낮음,보통
94,남성,중간,낮음
95,여성,낮음,우수
96,남성,중간,우수
97,남성,낮음,보통
98,여성,낮음,보통
99,여성,낮음,보통
100,여성,중간,보통
101,남성,낮음,보통
102,남성,중간,보통
103,여성,중간,우수
104,남성,낮음,낮음
105,남성,낮음,우수
106,여성,낮음,보통
107,여성,높음,우수
108,남성,중간,보통
109,여성,중간,보통
110,여성,낮음,보통
111,여성,중간,우수
112,남성,낮음,낮음
113,남성,중간,낮음
114,여성,낮음,낮음
115,여성,중간,우수
116,남성,낮음,보통
117,여성,중간,우수
118,여성,중간,우수
119,여성,낮음,보통
120,여성,낮음,보통
121,여성,중간,우수
122,남성,중간,우수
123,여성,낮음,우수
124,남성,낮음,보통
125,남성,낮음,보통
126,여성,낮음,우수
127,남성,낮음,보통
128,남성,낮음,보통
129,남성,높음,보통
130,여성,중간,낮음
131,남성,높음,우수
132,남성,낮음,낮음
133,남성,낮음,보통
134,여성,낮음,우수
135,남성,중간,보통
136,남성,중간,낮음
137,남성,낮음,낮음
138,남성,낮음,보통
139,여성,중간,보통
140,남성,낮음,보통
141,여성,낮음,보통
142,여성,낮음,보통
143,여성,낮음,낮음
144,남성,낮음,낮음
145,남성,낮음,우수
146,여성,낮음,낮음
147,남성,낮음,우수
148,남성,중간,보통
149,여성,중간,보통
150,남성,중간,우수
151,남성,낮음,보통
152,남성,중간,보통
153,여성,중간,보통
154,남성,중간,낮음
155,남성,낮음,보통
156,여성,낮음,우수
157,여성,낮음,보통
158,남성,낮음,보통
159,여성,중간,보통
160,남성,중간,보통
161,남성,중간,보통
162,여성,낮음,우수
163,남성,높음,낮음
164,남성,낮음,낮음
165,여성,높음,우수
166,여성,중간,우수
167,남성,낮음,낮음
168,여성,높음,보통
169,여성,낮음,보통
170,여성,낮음,보통
171,남성,낮음,보통
172,남성,낮음,우수
173,여성,낮음,우수
174,여성,중간,보통
175,여성,중간,낮음
176,여성,높음,우수
177,여성,낮음,낮음
178,여성,중간,보통
179,여성,높음,보통
180,여성,낮음,우수
181,남성,높음,보통
182,여성,낮음,보통
183,여성,낮음,낮음
184,여성,중간,보통
185,남성,낮음,낮음
186,남성,중간,보통
187,남성,낮음,보통
188,남성,낮음,보통
189,남성,낮음,낮음
190,여성,중간,우수
191,여성,중간,보통
192,남성,낮음,보통
193,여성,낮음,보통
194,남성,낮음,보통
195,여성,높음,보통
196,남성,중간,보통
197,남성,낮음,보통
198,남성,낮음,낮음
199,여성,낮음,낮음
200,여성,중간,보통
201,여성,중간,보통
202,여성,낮음,보통
203,남성,중간,보통
204,여성,중간,보통
205,남성,낮음,낮음
206,남성,낮음,보통
207,남성,중간,보통
208,남성,낮음,보통
209,여성,낮음,보통
210,여성,낮음,보통
211,남성,낮음,보통
212,남성,낮음,낮음
213,여성,낮음,낮음
214,남성,중간,보통
215,남성,낮음,우수
216,남성,낮음,우수
217,여성,중간,우수
218,여성,낮음,낮음
219,남성,낮음,보통
220,남성,낮음,보통
221,여성,낮음,보통
222,남성,중간,우수
223,여성,낮음,보통
224,남성,낮음,우수
225,여성,중간,보통
226,여성,높음,낮음
227,여성,낮음,보통
228,남성,낮음,낮음
229,남성,낮음,보통
230,여성,낮음,우수
231,남성,낮음,보통
232,남성,중간,낮음
233,여성,중간,보통
234,남성,낮음,우수
235,남성,중간,우수
236,남성,중간,보통
237,남성,중간,보통
238,여성,낮음,보통
239,남성,낮음,낮음
240,남성,중간,우수
241,남성,낮음,보통
242,여성,중간,우수
243,여성,낮음,낮음
244,남성,낮음,낮음
245,남성,낮음,보통
246,남성,중간,보통
247,남성,중간,우수
248,여성,낮음,보통
249,여성,낮음,보통
250,남성,낮음,보통
251,남성,낮음,낮음
252,여성,낮음,보통
253,여성,낮음,보통
254,남성,높음,보통
255,남성,낮음,낮음
256,여성,낮음,보통
257,여성,중간,보통
258,남성,중간,보통
259,여성,낮음,보통
260,여성,높음,보통
261,여성,낮음,보통
262,남성,낮음,보통
263,여성,낮음,낮음
264,여성,낮음,우수
265,남성,낮음,보통
266,남성,낮음,낮음
267,여성,중간,보통
268,여성,낮음,보통
269,여성,중간,우수
270,여성,낮음,보통
271,남성,중간,보통
272,남성,낮음,낮음
273,여성,중간,낮음
274,여성,낮음,보통
275,남성,낮음,우수
276,남성,중간,보통
277,여성,낮음,우수
278,여성,낮음,보통
279,여성,낮음,보통
280,남성,중간,보통
281,남성,낮음,낮음
282,남성,낮음,낮음
283,여성,중간,보통
284,여성,낮음,보통
285,여성,낮음,낮음
286,남성,중간,우수
287,남성,중간,우수
288,여성,낮음,보통
289,남성,중간,우수
290,남성,낮음,보통
291,남성,중간,보통
292,남성,낮음,보통
293,남성,낮음,보통
294,여성,중간,보통
295,남성,낮음,보통
296,남성,중간,보통
297,남성,낮음,낮음
298,남성,중간,보통
299,남성,낮음,낮음
300,남성,중간,우수
301,남성,낮음,우수
302,남성,낮음,낮음
303,여성,중간,보통
304,남성,중간,보통
305,여성,중간,보통
306,남성,낮음,보통
307,남성,낮음,우수
308,남성,낮음,낮음
309,여성,중간,보통
310,여성,낮음,낮음
311,여성,중간,보통
312,남성,중간,보통
313,남성,중간,보통
314,여성,중간,보통
315,여성,중간,보통
316,남성,낮음,보통
317,여성,높음,우수
318,남성,중간,보통
319,남성,중간,보통
320,여성,중간,보통
321,여성,낮음,보통
322,여성,낮음,우수
323,여성,낮음,보통
324,여성,낮음,낮음
325,여성,낮음,낮음
326,여성,낮음,우수
327,남성,낮음,보통
328,남성,낮음,낮음
329,남성,중간,보통
330,여성,낮음,낮음
331,남성,낮음,보통
332,남성,중간,낮음
333,남성,중간,보통
334,남성,중간,우수
335,여성,중간,우수
336,여성,낮음,보통
337,남성,낮음,보통
338,남성,중간,낮음
339,여성,낮음,낮음
340,여성,낮음,낮음
341,남성,낮음,보통
342,여성,낮음,보통
343,여성,낮음,보통
344,남성,중간,보통
345,남성,낮음,보통
346,여성,낮음,보통
347,남성,낮음,보통
348,여성,중간,우수
349,남성,낮음,보통
350,남성,중간,보통
351,여성,중간,보통
352,남성,낮음,보통
353,여성,낮음,보통
354,여성,중간,낮음
355,여성,낮음,보통
356,여성,중간,보통
357,남성,중간,보통
358,여성,낮음,보통
359,남성,낮음,보통
360,여성,낮음,우수
361,여성,낮음,보통
362,남성,낮음,우수
363,여성,낮음,보통
364,여성,낮음,낮음
365,남성,낮음,보통
366,남성,중간,보통
367,남성,낮음,보통
368,남성,중간,보통
369,여성,낮음,낮음
370,여성,낮음,우수
371,남성,낮음,보통
372,여성,낮음,보통
373,남성,낮음,보통
374,여성,낮음,우수
375,여성,중간,보통
376,남성,중간,낮음
377,여성,낮음,우수
378,여성,높음,우수
379,여성,낮음,보통
380,남성,중간,보통
381,여성,중간,우수
382,남성,중간,우수
383,남성,높음,보통
384,여성,낮음,낮음
385,여성,낮음,낮음
386,여성,낮음,보통
387,여성,중간,보통
388,여성,중간,보통
389,여성,낮음,보통
390,남성,높음,보통
391,남성,낮음,보통
392,여성,낮음,보통
393,남성,낮음,보통
394,남성,중간,보통
395,여성,낮음,보통
396,남성,낮음,낮음
397,여성,낮음,보통
398,여성,중간,우수
399,남성,낮음,보통
400,남성,낮음,보통
401,여성,낮음,보통
402,남성,낮음,낮음
403,여성,낮음,보통
404,여성,낮음,우수
405,여성,낮음,보통
406,여성,낮음,보통
407,남성,중간,보통
408,여성,중간,우수
409,여성,낮음,낮음
410,남성,중간,우수
411,여성,높음,보통
412,남성,낮음,우수
413,남성,중간,보통
414,남성,낮음,보통
415,여성,중간,보통
416,남성,낮음,보통
417,남성,중간,보통
418,남성,중간,보통
419,남성,낮음,보통
420,남성,낮음,보통
421,여성,중간,우수
422,여성,낮음,보통
423,여성,높음,보통
424,여성,낮음,보통
425,남성,낮음,낮음
426,여성,낮음,보통
427,남성,중간,우수
428,남성,낮음,보통
429,남성,낮음,보통
430,남성,낮음,보통
431,남성,중간,보통
432,여성,낮음,보통
433,남성,낮음,보통
434,여성,낮음,낮음
435,남성,낮음,보통
436,남성,낮음,낮음
437,남성,중간,보통
438,남성,중간,보통
439,남성,낮음,보통
440,남성,낮음,우수
441,여성,낮음,보통
442,여성,낮음,우수
443,여성,낮음,보통
444,여성,중간,보통
445,남성,낮음,보통
446,여성,낮음,보통
447,남성,낮음,보통
448,남성,낮음,우수
449,남성,낮음,낮음
450,남성,중간,보통
451,여성,낮음,보통
452,여성,낮음,우수
453,여성,중간,보통
454,남성,낮음,보통
455,여성,중간,보통
456,남성,중간,낮음
457,여성,중간,우수
458,남성,중간,낮음
459,여성,중간,우수
460,남성,낮음,보통
461,남성,중간,낮음
462,남성,낮음,낮음
463,여성,낮음,보통
464,여성,낮음,우수
465,남성,중간,보통
466,여성,낮음,우수
467,여성,중간,낮음
468,남성,낮음,보통
469,여성,낮음,우수
470,남성,낮음,우수
471,여성,중간,우수
472,여성,낮음,보통
473,여성,중간,보통
474,여성,낮음,보통
475,여성,중간,우수
476,여성,중간,보통
477,남성,중간,보통
478,남성,중간,보통
479,여성,높음,보통
480,남성,중간,보통
481,남성,낮음,보통
482,여성,중간,보통
483,남성,낮음,보통
484,남성,낮음,낮음
485,여성,중간,낮음
486,남성,낮음,보통
487,남성,낮음,낮음
488,여성,중간,보통
489,남성,낮음,보통
490,남성,중간,우수
491,여성,중간,보통
492,여성,중간,보통
493,여성,낮음,우수
494,여성,중간,우수
495,여성,낮음,보통
496,남성,낮음,보통
497,여성,낮음,낮음
498,여성,낮음,보통
499,여성,낮음,보통
500,남성,낮음,보통
501,여성,높음,보통
502,여성,중간,우수
503,남성,낮음,보통
504,여성,중간,우수
505,여성,높음,낮음
506,여성,낮음,우수
507,남성,낮음,보통
508,남성,중간,보통
509,남성,높음,보통
510,여성,중간,우수
511,남성,낮음,보통
512,남성,낮음,낮음
513,남성,낮음,낮음
514,여성,낮음,보통
515,여성,높음,우수
516,여성,낮음,우수
517,여성,낮음,우수
518,여성,낮음,보통
519,여성,낮음,보통
520,여성,낮음,보통
521,남성,낮음,보통
522,여성,중간,우수
523,남성,중간,보통
524,남성,높음,낮음
525,남성,낮음,낮음
526,남성,낮음,보통
527,남성,낮음,보통
528,여성,낮음,낮음
529,여성,중간,낮음
530,여성,중간,보통
531,여성,중간,보통
532,여성,낮음,낮음
533,남성,중간,보통
534,여성,중간,우수
535,남성,낮음,보통
536,여성,중간,보통
537,남성,중간,보통
538,여성,낮음,보통
539,남성,중간,보통
540,남성,중간,우수
541,남성,낮음,보통
542,남성,중간,우수
543,여성,중간,보통
544,여성,중간,우수
545,여성,높음,보통
546,남성,낮음,우수
547,여성,낮음,우수
548,남성,낮음,보통
549,여성,낮음,보통
550,남성,높음,보통
551,남성,낮음,보통
552,남성,중간,우수
553,여성,중간,낮음
