id,제조사
1,삼성
2,애플
3,삼성
4,애플
5,애플
6,애플
7,애플
8,애플
9,애플
10,애플
11,삼성
12,삼성
13,삼성
14,삼성
15,삼성
16,삼성
17,삼성
18,삼성
19,삼성
20,삼성
21,삼성
22,삼성
23,삼성
24,삼성
25,삼성
26,삼성
27,삼성
28,애플
29,삼성
30,삼성
31,삼성
32,삼성
33,삼성
34,삼성
35,애플
36,애플
37,삼성
38,삼성
39,애플
40,삼성
41,삼성
42,삼성
43,삼성
44,삼성
45,삼성
46,삼성
47,삼성
48,삼성
49,삼성
50,삼성
51,애플
52,삼성
53,삼성
54,애플
55,애플
56,삼성
57,삼성
58,삼성
59,애플
60,애플
61,삼성
62,애플
63,애플
64,애플
65,삼성
66,삼성
67,삼성
68,삼성
69,삼성
70,삼성
71,삼성
72,삼성
73,애플
74,애플
75,애플
76,애플
77,애플
78,애플
79,삼성
80,삼성
81,삼성
82,삼성
83,삼성
84,삼성
85,삼성
86,삼성
87,삼성
88,애플
89,애플
90,애플
91,애플
92,애플
93,애플
94,애플
95,애플
96,애플
97,애플
98,애플
99,애플
100,애플
101,애플
102,애플
103,애플
104,애플
105,애플
106,삼성
107,삼성
108,삼성
109,삼성
110,삼성
111,삼성
112,삼성
113,삼성
114,삼성
115,애플
116,기타
117,삼성
118,삼성
119,삼성
120,삼성
121,삼성
122,애플
123,애플
124,기타
125,삼성
126,애플
127,애플
128,애플
129,애플
130,애플
131,애플
132,애플
133,애플
134,삼성
135,삼성
136,애플
137,삼성
138,삼성
139,삼성
140,삼성
141,삼성
142,애플
143,애플
144,삼성
145,삼성
146,삼성
147,삼성
148,삼성
149,애플
150,기타
151,애플
152,애플
153,애플
154,애플
155,애플
156,애플
157,애플
158,삼성
159,삼성
160,애플
161,삼성
162,기타
163,삼성
164,기타
165,애플
166,삼성
167,삼성
168,삼성
169,삼성
170,삼성
171,애플
172,삼성
173,삼성
174,삼성
175,애플
176,애플
177,삼성
178,삼성
179,삼성
180,삼성
181,삼성
182,삼성
183,삼성
184,삼성
185,애플
186,애플
187,애플
188,애플
189,삼성
190,삼성
191,삼성
192,삼성
193,삼성
194,애플
195,삼성
196,삼성
197,삼성
198,삼성
199,애플
200,애플
