ID,단과대학,수강 과목 수
1,경영대학,4개 이하
2,경영대학,4개 이하
3,경영대학,4개 이하
4,경영대학,4개 이하
5,경영대학,4개 이하
6,경영대학,4개 이하
7,경영대학,4개 이하
8,경영대학,4개 이하
9,경영대학,4개 이하
10,경영대학,4개 이하
11,경영대학,4개 이하
12,경영대학,4개 이하
13,경영대학,5개
14,경영대학,5개
15,경영대학,5개
16,경영대학,5개
17,경영대학,5개
18,경영대학,5개
19,경영대학,5개
20,경영대학,5개
21,경영대학,5개
22,경영대학,5개
23,경영대학,5개
24,경영대학,5개
25,경영대학,5개
26,경영대학,5개
27,경영대학,5개
28,경영대학,5개
29,경영대학,5개
30,경영대학,5개
31,경영대학,5개
32,경영대학,5개
33,경영대학,5개
34,경영대학,5개
35,경영대학,5개
36,경영대학,5개
37,경영대학,5개
38,경영대학,5개
39,경영대학,5개
40,경영대학,5개
41,경영대학,5개
42,경영대학,5개
43,경영대학,5개
44,경영대학,5개
45,경영대학,5개
46,경영대학,5개
47,경영대학,5개
48,경영대학,5개
49,경영대학,5개
50,경영대학,5개
51,경영대학,5개
52,경영대학,5개
53,경영대학,5개
54,경영대학,5개
55,경영대학,5개
56,경영대학,5개
57,경영대학,5개
58,경영대학,5개
59,경영대학,5개
60,경영대학,5개
61,경영대학,5개
62,경영대학,5개
63,경영대학,5개
64,경영대학,5개
65,경영대학,5개
66,경영대학,5개
67,경영대학,5개
68,경영대학,5개
69,경영대학,5개
70,경영대학,5개
71,경영대학,5개
72,경영대학,5개
73,경영대학,5개
74,경영대학,5개
75,경영대학,5개
76,경영대학,5개
77,경영대학,5개
78,경영대학,5개
79,경영대학,5개
80,경영대학,5개
81,경영대학,5개
82,경영대학,5개
83,경영대학,5개
84,경영대학,5개
85,경영대학,5개
86,경영대학,5개
87,경영대학,5개
88,경영대학,5개
89,경영대학,5개
90,경영대학,5개
91,경영대학,6개 이상
92,경영대학,6개 이상
93,경영대학,6개 이상
94,경영대학,6개 이상
95,경영대학,6개 이상
96,경영대학,6개 이상
97,경영대학,6개 이상
98,경영대학,6개 이상
99,경영대학,6개 이상
100,경영대학,6개 이상
101,경영대학,6개 이상
102,경영대학,6개 이상
103,경영대학,6개 이상
104,경영대학,6개 이상
105,경영대학,6개 이상
106,경영대학,6개 이상
107,경영대학,6개 이상
108,경영대학,6개 이상
109,경영대학,6개 이상
110,경영대학,6개 이상
111,경영대학,6개 이상
112,경영대학,6개 이상
113,경영대학,6개 이상
114,경영대학,6개 이상
115,경영대학,6개 이상
116,경영대학,6개 이상
117,경영대학,6개 이상
118,경영대학,6개 이상
119,경영대학,6개 이상
120,경영대학,6개 이상
121,자연대학,4개 이하
122,자연대학,4개 이하
123,자연대학,4개 이하
124,자연대학,4개 이하
125,자연대학,4개 이하
126,자연대학,4개 이하
127,자연대학,4개 이하
128,자연대학,4개 이하
129,자연대학,4개 이하
130,자연대학,4개 이하
131,자연대학,4개 이하
132,자연대학,4개 이하
133,자연대학,4개 이하
134,자연대학,4개 이하
135,자연대학,4개 이하
136,자연대학,4개 이하
137,자연대학,4개 이하
138,자연대학,4개 이하
139,자연대학,4개 이하
140,자연대학,4개 이하
141,자연대학,4개 이하
142,자연대학,4개 이하
143,자연대학,4개 이하
144,자연대학,4개 이하
145,자연대학,4개 이하
146,자연대학,4개 이하
147,자연대학,4개 이하
148,자연대학,4개 이하
149,자연대학,4개 이하
150,자연대학,4개 이하
151,자연대학,5개
152,자연대학,5개
153,자연대학,5개
154,자연대학,5개
155,자연대학,5개
156,자연대학,5개
157,자연대학,5개
158,자연대학,5개
159,자연대학,5개
160,자연대학,5개
161,자연대학,5개
162,자연대학,5개
163,자연대학,5개
164,자연대학,5개
165,자연대학,5개
166,자연대학,5개
167,자연대학,5개
168,자연대학,5개
169,자연대학,5개
170,자연대학,5개
171,자연대학,5개
172,자연대학,5개
173,자연대학,5개
174,자연대학,5개
175,자연대학,5개
176,자연대학,5개
177,자연대학,5개
178,자연대학,5개
179,자연대학,5개
180,자연대학,5개
181,자연대학,5개
182,자연대학,5개
183,자연대학,5개
184,자연대학,5개
185,자연대학,5개
186,자연대학,5개
187,자연대학,5개
188,자연대학,5개
189,자연대학,5개
190,자연대학,5개
191,자연대학,5개
192,자연대학,5개
193,자연대학,6개 이상
194,자연대학,6개 이상
195,자연대학,6개 이상
196,자연대학,6개 이상
197,자연대학,6개 이상
198,자연대학,6개 이상
199,자연대학,6개 이상
200,자연대학,6개 이상
201,공과대학,4개 이하
202,공과대학,4개 이하
203,공과대학,4개 이하
204,공과대학,4개 이하
205,공과대학,4개 이하
206,공과대학,4개 이하
207,공과대학,4개 이하
208,공과대학,4개 이하
209,공과대학,4개 이하
210,공과대학,4개 이하
211,공과대학,4개 이하
212,공과대학,4개 이하
213,공과대학,4개 이하
214,공과대학,4개 이하
215,공과대학,4개 이하
216,공과대학,4개 이하
217,공과대학,4개 이하
218,공과대학,4개 이하
219,공과대학,4개 이하
220,공과대학,4개 이하
221,공과대학,4개 이하
222,공과대학,4개 이하
223,공과대학,4개 이하
224,공과대학,4개 이하
225,공과대학,4개 이하
226,공과대학,4개 이하
227,공과대학,4개 이하
228,공과대학,4개 이하
229,공과대학,4개 이하
230,공과대학,4개 이하
231,공과대학,5개
232,공과대학,5개
233,공과대학,5개
234,공과대학,5개
235,공과대학,5개
236,공과대학,5개
237,공과대학,5개
238,공과대학,5개
239,공과대학,5개
240,공과대학,5개
241,공과대학,5개
242,공과대학,5개
243,공과대학,5개
244,공과대학,5개
245,공과대학,5개
246,공과대학,5개
247,공과대학,5개
248,공과대학,5개
249,공과대학,5개
250,공과대학,5개
251,공과대학,5개
252,공과대학,5개
253,공과대학,5개
254,공과대학,5개
255,공과대학,5개
256,공과대학,5개
257,공과대학,5개
258,공과대학,5개
259,공과대학,5개
260,공과대학,5개
261,공과대학,5개
262,공과대학,5개
263,공과대학,5개
264,공과대학,5개
265,공과대학,5개
266,공과대학,5개
267,공과대학,5개
268,공과대학,5개
269,공과대학,5개
270,공과대학,5개
271,공과대학,5개
272,공과대학,5개
273,공과대학,6개 이상
274,공과대학,6개 이상
275,공과대학,6개 이상
276,공과대학,6개 이상
277,공과대학,6개 이상
278,공과대학,6개 이상
279,공과대학,6개 이상
280,공과대학,6개 이상
